,Unnamed: 0,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL,NER,gender,scores,sentiment_score,overall_sentiment
30,30,MAYANK SHAH,@Mayank_Himalaya,2022-12-27T05:57:51.000Z,"Mayank Shah
@mayank_himalaya
,
27 Dec 2022","Imagine the situation if the locals have to come out of their houses to protest.

Till when the #environment elitist, #development and #hydro lobby hide behind #climatechange & divine disaster when you all know the reason is you.

#joshimath #disaster #dirtyhydro #Uttarakhand
Sarita Tiwari
@saritatiwariuk
,
26 Dec 2022
Joshimath: People came out of their homes, more than 500 buildings on the verge of collapse!

#UTTARAKHAND #JOSHIMATH
3
7
297",,,3.0,7,"['https://pbs.twimg.com/profile_images/1590657721946497024/-VIZhtEs_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1607409552496160770/pu/img/lHqUnYk6v9eA_sHY.jpg']",https://twitter.com/Mayank_Himalaya/status/1607616733204058112,PERSON,male,"{'neg': 0.149, 'neu': 0.79, 'pos': 0.062, 'compound': -0.7644}",-0.7644,neg
31,31,Rahul Namboodri,@Lets_Fact,2022-12-27T02:46:54.000Z,"Rahul Namboodri
@Let's_Fact
·
27 Deck 2022","#joshimath
Sarita Tiwari
@saritatiwariuk
,
26 Dec 2022
Joshimath: People came out of their homes, more than 500 buildings on the verge of collapse!

#UTTARAKHAND #JOSHIMATH
2:04
3,443 views
111",🐶,,,,['https://pbs.twimg.com/profile_images/1590657721946497024/-VIZhtEs_mini.jpg'],https://twitter.com/Lets_Fact/status/1607568678396243968,PERSON,male,"{'neg': 0.111, 'neu': 0.889, 'pos': 0.0, 'compound': -0.5411}",-0.5411,neg
32,32,Anoop Nautiyal,@Anoopnautiyal1,2022-12-27T02:43:19.000Z,"Anoop Nautiyal
@Anoopnautiyal1
·
27 Desi 2022","Extremely worrying with all updates about sinking of #Joshimath town in #Uttarakhand. While govt has ordered geological studies, there is a need for speed & extreme urgency. It is advisable to have all back up relief plans in place in case of any sudden mishap in the winter cold.
9
42
110
13K",,9.0,42.0,110,[],https://twitter.com/Anoopnautiyal1/status/1607567774943174658,PERSON,male,"{'neg': 0.05, 'neu': 0.892, 'pos': 0.058, 'compound': 0.1045}",0.1045,pos
34,34,Ankit Sharma,@ankitsharmauk,2022-12-28T04:19:41.000Z,"Ankit Sharma
@ankitsharmauk
,
28 Dec 2022","Our mythological and historical heritage Joshimath is moving towards a big danger...!! #joshimath
youtube.com
Joshimath: This city is sinking, is the devastation waiting to happen?
Joshimath: This city is sinking, is the devastation waiting to happen? #joshimath #uttarakhandtak #earthquake #joshimathkhatra #UKT0121For more videos, ...
1
126",,,,1,['https://pbs.twimg.com/card_img/1613205626901102597/lz6RE6LM?format=jpg&name=240x240'],https://twitter.com/ankitsharmauk/status/1607954416526831616,PERSON,male,"{'neg': 0.135, 'neu': 0.865, 'pos': 0.0, 'compound': -0.7611}",-0.7611,neg
35,35,Ajit Singh Rathi,@AjitSinghRathi,2022-12-28T02:46:25.000Z,"Ajit Singh Rathi
@AjitSingharati
,
28 Dec 2022","After 75 years of the country's independence, the mobile phone rang in Kalgoth, a remote village of Joshimath block. Till now there was no facility of communication in this village. There is an atmosphere of happiness in the villagers as soon as the phone starts ringing.
#chamolidistrict
#joshimath
#indochainaborder
#uttarakhand
4
13
59
3,595",,4.0,13.0,59,['https://pbs.twimg.com/ext_tw_video_thumb/1607930862989119488/pu/img/JRpEN5MnqUOvcJb9.jpg'],https://twitter.com/AjitSinghRathi/status/1607930944140513280,PERSON,male,"{'neg': 0.088, 'neu': 0.849, 'pos': 0.062, 'compound': -0.128}",-0.128,neg
36,36,Dainik Bhaskar,@DainikBhaskar,2022-12-28T02:25:30.000Z,"Daily newspaper
@Daily newspaper
,
28 Dec 2022","The danger of drowning at Joshi Math, which is called the entrance of Badrinath: Cracks occurred in 500 houses, shops and holts in a year, the team of geologists and engineers investigated
#Badrinath #Uttarakhand #Joshimath
dainik-b.in
Drowning at Joshimath in Uttarakhand.
Many houses-shops and...
1
5
51
3,368",,1.0,5.0,51,['https://pbs.twimg.com/card_img/1615612834825572352/NXCC6Ndm?format=jpg&name=small'],https://twitter.com/DainikBhaskar/status/1607925678715928576,PERSON,male,"{'neg': 0.072, 'neu': 0.928, 'pos': 0.0, 'compound': -0.5267}",-0.5267,neg
37,37,Ashok Rawat,@dilse1980,2022-12-28T02:20:01.000Z,"Ashok Rawat
@dilse1980
·
28 Dec 2022","@vinodkapri
 @MinakshiKandwal
 @anjileeistwal
 

#joshimath
Anamika Gaur
@ByAnamika
,
27 Dec 2022
A house is a lifetime's income, a support for old age, this poor widow of Joshimath Singhdwar Ward is now seeing her house being broken, cracks in the house, broken courtyard, women's tears are pleading with the government, for help Go, save their houses, save Joshimath #Joshimath @ukcmo
26",,,,,"['https://pbs.twimg.com/profile_images/1568145327064231936/sErOfJ2u_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1607688745133936641/pu/img/oIOeWn-38Wd7Izlk.jpg']",https://twitter.com/dilse1980/status/1607924301457686532,PERSON,male,"{'neg': 0.164, 'neu': 0.671, 'pos': 0.165, 'compound': 0.0194}",0.0194,pos
43,43,Anoop Nautiyal,@Anoopnautiyal1,2022-12-30T13:52:54.000Z,"Anoop Nautiyal
@Anoopnautiyal1
·
30 Desi 2022","Grateful to #Uttarakhand based paper 
@GarhwalPost1
 for amplifying sinking of #Joshimath town by carrying a small write up penned by me. I sincerely hope that govt & district authorities take urgent steps to arrest damage. This is critical & needs to be addressed on priority.
3
13
45
2,869",,3.0,13.0,45,['https://pbs.twimg.com/media/FlOwZNqagAMfabT?format=jpg&name=small'],https://twitter.com/Anoopnautiyal1/status/1608823445391036418,PERSON,male,"{'neg': 0.142, 'neu': 0.664, 'pos': 0.194, 'compound': 0.4404}",0.4404,pos
44,44,The Logical Indian,@LogicalIndians,2022-12-30T12:07:25.000Z,"The Logical Indian
@LogicalIndians
·
30 Dec 2022","The development comes after several reports that Joshimath, which is considered the gateway to Badrinath, a Hindu holy place, is 'sinking' with its numerous houses, shops, and hotels conceiving cracks surfaced. 

#joshimath #sinking #uttarakhand
thelogicalindian.com
Uttarakhand's Joshimath Sinking! Cracks Emerge In Over 500 Buildings, Expert Team Inspects The Town
The development comes after several reports that Joshimath, which is considered the gateway to Badrinath, a Hindu holy place, is 'sinking' with its numerous houses, shops, and hotels conceiving...
615",,,,,['https://pbs.twimg.com/card_img/1614452894991880193/HOGa7T46?format=jpg&name=small'],https://twitter.com/LogicalIndians/status/1608796899364175872,PERSON,male,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
48,48,Subhash Raturi,@SubhashRaturi,2022-12-31T06:01:58.000Z,"Subhash Raturi
@subhashraturi
,
31 Dec 2022","#Uttarakhand: Due to landslides in Joshimath of Chamoli district of Uttarakhand, large cracks are continuously appearing in many houses, frightened people are looking for safe places after vacating their houses, is this a sign of some big crisis? Government should take necessary steps soon. #joshimath
2
6
360",,,2.0,6,"['https://pbs.twimg.com/media/FlSN0ENagAAXHMM?format=jpg&name=small', 'https://pbs.twimg.com/media/FlSN0EZakAIZheu?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FlSN3P4akAAUqSY?format=jpg&name=360x360']",https://twitter.com/SubhashRaturi/status/1609067318499475458,PERSON,male,"{'neg': 0.135, 'neu': 0.809, 'pos': 0.056, 'compound': -0.6249}",-0.6249,neg
50,50,Amar Ujala Dehradun,@AU_DehradunNews,2023-01-02T15:32:42.000Z,"Amar Ujla Dehradun
@aa_dehradunnews
·
2 John","Temporary protection works will be done to prevent landslides happening in Joshimath.
https://amarujala.com/dehradun/landslide-in-joshimath-temporary-work-will-be-done-to-prevent-landslides…
#Uttarakhand #joshimath #landslide
amarujala.com
Landslide In Joshimath: Temporary works will be done to prevent landslides, families will be ready for displacement...
Temporary protection works will be done to prevent landslides happening in Joshimath. Irrigation Department to do these works
1
128",,,,1,['https://pbs.twimg.com/card_img/1615596705382305795/E6WJIVHg?format=jpg&name=small'],https://twitter.com/AU_DehradunNews/status/1609935723142205441,PERSON,male,"{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.4215}",0.4215,pos
53,53,Amar Ujala Dehradun,@AU_DehradunNews,2023-01-02T07:13:56.000Z,"Amar Ujla Dehradun
@aa_dehradunnews
·
2 John","Landslide In Joshimath: Sinking land raises concern, cracks in houses, CM asks for report

https://amarujala.com/photo-gallery/dehradun/landslide-in-joshimath-cracks-are-coming-in-houses-cm-seeks-report-from-dm-uttarakhand-news-in-hindi…

#uttarakhandnews #dehradunnews
@AmarUjalaNews
 #joshimath #landslide
@pushkardhami
amarujala.com
Landslide In Joshimath: Sinking land increased concern, cracks in houses, CM sought...
CM Pushkar Singh Dhami has sought a detailed report from DM on landslide in Joshimath of Chamoli district. Also affected by landslide
151",,,,,['https://pbs.twimg.com/card_img/1615596701984907265/FzACylpM?format=jpg&name=small'],https://twitter.com/AU_DehradunNews/status/1609810205231177729,PERSON,male,"{'neg': 0.028, 'neu': 0.936, 'pos': 0.036, 'compound': 0.128}",0.128,pos
60,60,Amar Ujala Dehradun,@AU_DehradunNews,2023-01-03T06:05:43.000Z,"Amar Ujla Dehradun
@aa_dehradunnews
·
3 John","Due to the landslide happening in Joshimath area of ​​Uttarakhand, all-round danger has arisen for the people. After the cracks in the houses and fields, now the poles of the high tension line have also become skewed.
https://amarujala.com/photo-gallery/dehradun/uttarakhand-joshimath-news-ht-line-pillars-skewed-due-to-landslide-danger-over-houses…
#Joshimath #Uttarakhand #HTLine
@pushkardhami
amarujala.com
Joshimath: All-round threat to people due to landslides... After cracks in houses and fields, now HT line...
Due to the landslide happening in Joshimath area of ​​Uttarakhand, all-round danger has arisen for the people. Cracks in houses and fields
1
126",,,,1,['https://pbs.twimg.com/card_img/1615582080355958785/dt_cmYTT?format=jpg&name=small'],https://twitter.com/AU_DehradunNews/status/1610155424837406723,PERSON,male,"{'neg': 0.137, 'neu': 0.863, 'pos': 0.0, 'compound': -0.91}",-0.91,neg
62,62,Gaurav Talwar,@gauravtalwarTOI,2023-01-03T04:07:26.000Z,"Gaurav Tower
@gauravtalvartoi
,
3 Jan","Joshimath problem is really serious. Durga Prasad Saklani is forced to use wood log to support the roof. Floors of his two rooms have caved-in, cracks in walls and sinking verandah. Need immediate attention #joshimath #joshimathsinking
4
11
1,654",,,4.0,11,"['https://pbs.twimg.com/media/FlhQv8CagAI948s?format=jpg&name=small', 'https://pbs.twimg.com/media/FlhQv76acAEiP9_?format=jpg&name=small', 'https://pbs.twimg.com/media/FlhQv8BagAI6Te8?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FlhQv76aYAExbex?format=jpg&name=360x360']",https://twitter.com/gauravtalwarTOI/status/1610125661133504512,PERSON,male,"{'neg': 0.166, 'neu': 0.773, 'pos': 0.061, 'compound': -0.5563}",-0.5563,neg
66,66,Tushar Panthari,@Tushar11633233,2023-01-04T18:24:30.000Z,"Tushar Panthri
@tushar11633233
,
4 Jan","I will write the crumbling walls of Joshimath
You are ignoring the Dhami government
#joshimath
1
130",,,,1,['https://pbs.twimg.com/media/FlpegqHaAAEQVUV?format=jpg&name=small'],https://twitter.com/Tushar11633233/status/1610703734912475138,PERSON,male,"{'neg': 0.162, 'neu': 0.838, 'pos': 0.0, 'compound': -0.4019}",-0.4019,neg
73,73,robin singh,@robin_Singh8,2023-01-04T17:07:14.000Z,"robin singh
@robin_Singh8
·
4 Jan","@aajtak
 @indiatvnews
 @ZeeNews
 @ZeeNewsEnglish
 @IndiaToday
 @ndtv
 @ABPNews
 @TNNavbharat
 @BBCWorld
 @CNNnews18
 @BBHCindi
  If you get free time from Hindu Muslim news, then take it into consideration #Joshimath
Ramesh Bhatt
@Rameshbhimtal
,
Jan 4
With the increase of cracks, the leakage of water has also increased. First of all people should be protected.
#save joshimath
#SaveJoshimath
1
139",,,1.0,,"['https://pbs.twimg.com/profile_images/1044048249764679680/OC3NM5lW_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1610499053124726785/pu/img/kbjzCmpTjkT6AcQt.jpg']",https://twitter.com/robin_Singh8/status/1610684291343847426,PERSON,male,"{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.8625}",0.8625,pos
74,74,Rajat Benjwal RB,@BenjwalRajat,2023-01-04T16:56:31.000Z,"I came back, Lord
@Bangol please
·
4 Jean","Save Joshimath 

#Joshimath 
#SaveJoshimath 
#uttarakhand
4
5
608",🙏,,4.0,5,[],https://twitter.com/BenjwalRajat/status/1610681594389446656,PERSON,male,"{'neg': 0.0, 'neu': 0.61, 'pos': 0.39, 'compound': 0.4939}",0.4939,pos
82,82,Ravish Tiwari,@tiwariravish,2023-01-04T16:15:40.000Z,"Ravish Tiwari
@tiwariravish
·
4 Jan","#landslide in #Joshimath #ntpc ingnorant please intervene 
@pushkardhami
 @PMOIndia
 @narendramodi
 @AmitShah
 . Please protect our religious heritage. #badrinathdham
1
1
173",,,1.0,1,[],https://twitter.com/tiwariravish/status/1610671312414068738,PERSON,male,"{'neg': 0.0, 'neu': 0.676, 'pos': 0.324, 'compound': 0.7351}",0.7351,pos
85,85,Himanshu Purohit,@Himansh256370,2023-01-04T14:44:22.000Z,"Himanshu Purohit
@Himansh256370
·
4 Jan","Disaster has knocked on the door, there is only despair in the eyes of the people.. neither any politician is seen with these people of Joshimath, nor anyone in the Supreme Court, nor anyone is silent...maybe everyone is waiting for the holocaust ...

God bless Badri Vishal

#savejoshimath #Joshimath #uttarakhand
0:56
3,550 views
0:44
166 views
creation
@SriiShT
,
Jan 4
1:00
Joshimath city is now taking its last breath, don't know how many houses will be saved tomorrow, elders say that sleep with preparation, don't have to run in sleep
#SaveJoshimath
@pushkardhami @mahendrabhatbjp @Rameshbhimtal
3
95
159
8,740",🙏 💙 😢,3.0,95.0,159,"['https://pbs.twimg.com/ext_tw_video_thumb/1610648231716990976/pu/img/bLHIDEVsezZDOuQo.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1610648231679229952/pu/img/n80ZtHh9c34GtiFu.jpg', 'https://pbs.twimg.com/profile_images/1594885892594110466/DQFhkRsZ_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1610640995779239936/pu/img/K3sCwsOcsRwNPcWW?format=jpg&name=240x240']",https://twitter.com/Himansh256370/status/1610648337379885061,PERSON,male,"{'neg': 0.059, 'neu': 0.818, 'pos': 0.123, 'compound': 0.7184}",0.7184,pos
86,86,Anoop Nautiyal,@Anoopnautiyal1,2023-01-04T14:43:01.000Z,"Anoop Nautiyal
@Anoopnautiyal1
·
4 Jan","Good to see that 
@ChamoliDm
 has responded to my tweets with two replies. I reverted back & suggested to them that they should send max updates about #Joshimath & that in any crisis situation it is important to communicate regularly. Have assured them of support if needed.
8
9
51
5,066",,8.0,9.0,51,['https://pbs.twimg.com/media/Flor0C-aYAMl883?format=jpg&name=small'],https://twitter.com/Anoopnautiyal1/status/1610647994923372547,PERSON,male,"{'neg': 0.075, 'neu': 0.745, 'pos': 0.18, 'compound': 0.5859}",0.5859,pos
88,88,Tejpal Rawat,@TejpalRawat_,2023-01-04T14:37:51.000Z,"Tejpal Rawat
@tejpalrawat_
·
4 informed","#savejoshimath #joshimath #savejoshimath
2:10
199 views
6
13
597",,,6.0,13,[],https://twitter.com/TejpalRawat_/status/1610646695792054273,PERSON,male,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
89,89,Tejpal Rawat,@TejpalRawat_,2023-01-04T14:34:00.000Z,"Tejpal Rawat
@tejpalrawat_
·
4 informed","Reply to
@Rameshbhimtal
Tremendous boil in Joshimath - Local people took out a torch procession regarding Joshimath landslide, slogans against the projects and the government. #uttarakhand #uttarakhandtourism #news #joshimath
1
6
531",,,1.0,6,['https://pbs.twimg.com/ext_tw_video_thumb/1610645362250846208/pu/img/aur9wMBzdOmBKSbZ.jpg'],https://twitter.com/TejpalRawat_/status/1610645728669335552,PERSON,male,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
95,95,Girish Joshi,@girish_joshig,2023-01-04T13:40:16.000Z,"Girish Joshi
@girish_joshig
,
Jan 4","Must watch!

#Joshimath #JoshimathIsSinking
#save joshimath
youtube.com
Joshimath in danger Joshimath Disaster
#BaatBolegi #TrilochanBhatthttps://youtu.be/QxrdeAjXJk0baatbolegiportal@gmail.comJoshimath in danger Joshimath DisasterhighlightsWhat happened at Joshimath?Why i...
1
344",,,1.0,,['https://pbs.twimg.com/card_img/1613264576921104384/2fcgdx8y?format=jpg&name=240x240'],https://twitter.com/girish_joshig/status/1610632207105916930,PERSON,male,"{'neg': 0.359, 'neu': 0.641, 'pos': 0.0, 'compound': -0.9041}",-0.9041,neg
96,96,Gaurav Agrawal,@GauravAgrawaal,2023-01-04T11:48:08.000Z,"Gaurav Agrawal
@Gauravagrawal
·
4 John","After all, why is Joshimath sinking and why is this hilly area of ​​Uttarakhand so important. Learn

News of the warning for you... Loud & Clear.

#Joshimath #Uttarakhand #LoudAndClear
1
2
1
267",,1.0,2.0,1,['https://pbs.twimg.com/ext_tw_video_thumb/1610603589994709000/pu/img/e7H-oWIx98SL1GQJ.jpg'],https://twitter.com/GauravAgrawaal/status/1610603985853100035,PERSON,male,"{'neg': 0.072, 'neu': 0.779, 'pos': 0.149, 'compound': 0.3749}",0.3749,pos
97,97,Gaurav Agrawal,@GauravAgrawaal,2023-01-04T11:42:20.000Z,"Gaurav Agrawal
@Gauravagrawal
·
4 John","Joshimath of Uttarakhand is sinking. More than 500 houses have developed cracks. Electric poles have become crooked. A big earthquake can happen at any time. People are forced to leave their homes. CM
@pushkardhami
 Has assured all possible help.

Cautionary tale, #LoudAndClear

#joshimath
4
6
31
991",,4.0,6.0,31,['https://pbs.twimg.com/ext_tw_video_thumb/1610602158612971524/pu/img/T6n9cFvNmP0sk0jP.jpg'],https://twitter.com/GauravAgrawaal/status/1610602527367761922,PERSON,male,"{'neg': 0.085, 'neu': 0.81, 'pos': 0.105, 'compound': 0.25}",0.25,pos
98,98,Tejpal Rawat,@TejpalRawat_,2023-01-04T11:35:12.000Z,"Tejpal Rawat
@tejpalrawat_
·
4 informed","The increasing scope of landslide in Joshimath has become a threat to the lives of the local residents. The situation is such that in JP Colony, there is a security threat due to water coming out in the houses. Even those who are living are forced to wake up in this shivering winter. #Joshimath
3
4
247",,,3.0,4,[],https://twitter.com/TejpalRawat_/status/1610600729734963200,PERSON,male,"{'neg': 0.156, 'neu': 0.765, 'pos': 0.079, 'compound': -0.7066}",-0.7066,neg
99,99,Jitendra Singh Bisht,@jsbisht555,2023-01-04T11:32:09.000Z,"Jitendra Singh Tail
@jsbisht555
·
Jan 4","Joshimath, the historical-cultural city of Uttarakhand, is moaning.
After the cracks in the houses, now the leakage of water has also started.
The danger is increasing.
Joshimath is horrified.
#Joshimath #Landsubsidence #SaveJoshimath
1
3
4
577",,1.0,3.0,4,"['https://pbs.twimg.com/media/FloAHQAXwAIoLFQ?format=jpg&name=small', 'https://pbs.twimg.com/media/FloAHdWWYAItOn3?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FloAH9KXgAEmStn?format=jpg&name=360x360']",https://twitter.com/jsbisht555/status/1610599962710282240,PERSON,male,"{'neg': 0.217, 'neu': 0.783, 'pos': 0.0, 'compound': -0.8074}",-0.8074,neg
100,100,Jyotiraditya sah,@Jyotiradityasah,2023-01-04T11:10:56.000Z,"including Jyotiraditya
@Jyotiradityasah
·
4 go","My Hometown Joshimath is in the verge of witnessing a big tragedy . It is gateway to historical places like Badrinath Dham , Valley of Flowers ,Hemkunt Sahib and several other famous treks . Why state govt is ignoring this beautiful town ? 
#Joshimath #Uttarakhand
Neha Chauhan
@nehajoychauhan
·
4 Jan
Uttarakhand's Joshimath is getting ready for a big tragedy. Several buildings and home now have huge cracks leaking muddy water.
1
3
9
1,035",,1.0,3.0,9,"['https://pbs.twimg.com/profile_images/1612118809472798722/yPVmvH_U_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1610564697291649026/pu/img/T0haYB_3OI0pc-ux.jpg']",https://twitter.com/Jyotiradityasah/status/1610594623654592514,PERSON,male,"{'neg': 0.143, 'neu': 0.709, 'pos': 0.148, 'compound': -0.1469}",-0.1469,neg
101,101,Raj A Bijalwan,@raj_bijalwan,2023-01-04T09:50:29.000Z,"Raja Bijlwan
@raj_bijlwan
,
4 Jan","Prayers to Shri Narsimha Dev ji. 
#Joshimath
1
3
178",,,1.0,3,[],https://twitter.com/raj_bijalwan/status/1610574376742813698,PERSON,male,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
106,106,Arunesh Pathania,@aruneshpathania,2023-01-04T08:41:50.000Z,"Arunesh Pathania
@aruneshpathania
·
4 Jan","Sir! Joshimath is cracking:
Cracks in hundreds of houses
Due to fear, people came out of their homes in the chilling cold.
The government is moving forward on the issue of landslides with the speed of a turtle.

On the other hand, political parties and big media people are trying their best to save the illegal occupants in Haldwani.
#joshimath
The following media contains potentially sensitive content. Change settings
view
1
15
37
1,531",,1.0,15.0,37,[],https://twitter.com/aruneshpathania/status/1610557103286161408,PERSON,male,"{'neg': 0.091, 'neu': 0.752, 'pos': 0.157, 'compound': 0.7712}",0.7712,pos
