UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL,NER,gender,scores,sentiment_score,overall_sentiment
Oneindia Hindi,@oneindiaHindi,2022-12-31T08:02:35.000Z,"Oneindia No
@oneindiaHindi
·
31 Dec 2022","Uttrakhand: Cracks in houses in Chamoli's Joshimath, people vacate their houses

https://www.oneindia.com/videos/uttrakhand-cracks-in-houses-in-chamolis-joshimath-people-vacate-their-house-3560858.html…

#Uttarakhand #cracksin500houses #joshimath #dehradun
hindi.oneindia.com
Uttrakhand: Cracks in houses in Chamoli's Joshimath, people vacate their houses - Oneindia
Cracks are coming in people's houses in Joshimath of Chamoli district of Uttarakhand. Due to which people are living in fear. The situation is such that if an earthquake...
115",,,,,[],https://twitter.com/oneindiaHindi/status/1609097671377317888,LANGUAGE,,"{'neg': 0.052, 'neu': 0.948, 'pos': 0.0, 'compound': -0.4939}",-0.4939,neg
TV9 Uttar Pradesh,@TV9UttarPradesh,2022-12-31T06:20:57.000Z,"TV9 Uttar Pradesh
@TV9UttarPradesh
·
31 Dec 2022","Cracks in the walls due to land subsidence, within a year natural disaster again in Joshimath
#Uttarakhand #joshimath
tv9hindi.com
Cracks in the walls due to land subsidence, within a year natural disaster again in Joshimath
In view of the situation, the people living in these houses have gone out of the house with essential items, but due to lack of any safe place, all these people are currently sitting under the open sky with their wives and children.
161",,,,,[],https://twitter.com/TV9UttarPradesh/status/1609072097288159232,GPE,,"{'neg': 0.093, 'neu': 0.822, 'pos': 0.085, 'compound': -0.1779}",-0.1779,neg
Neeraj Pant𑀦𑀻𑀭(Hill),@Neergunnu,2023-01-02T19:23:48.000Z,"Neeraj Pant𑀦𑀻𑀭(Hill)
@neergunnu
,
Jan 3","#joshimath #Uttarakhand #joshimath #geographical #Geography #Uttarakhand Result of so called modern development and warning of nature
https://youtu.be/6qHaepu8gSc
Jitendra Anthwal
@JitendraAnthwal
,
31 Dec 2022
Historical-cultural city Tehri of Uttarakhand was given Jal Samadhi in 2005 for the hydroelectric project. Now the historical-religious city of Joshimath is also going to be sacrificed for hydropower projects. Video of @MinakshiKandwal narrating the pain of a dying #Joshimath...
https://youtu.be/6qHaepu8gSc
135",👇 👇,,,,"['https://pbs.twimg.com/profile_images/1571702687804293121/2PW9eHhT_mini.jpg', 'https://pbs.twimg.com/media/FlR6TucacAEBoxy?format=jpg&name=small']",https://twitter.com/Neergunnu/status/1609993881487282182,,,"{'neg': 0.084, 'neu': 0.916, 'pos': 0.0, 'compound': -0.6908}",-0.6908,neg
enews24x7.in,@enews24x7_in,2023-01-02T07:27:50.000Z,"enews24x7.in
@enews24x7_in
·
2 Jan","The sinking land increased the concern of the people, the cracks in the houses...

#landslide #joshimath
enews24x7.in
Joshimath: The sinking land increased the concern of the people, CM Dhami sought a detailed report from the DM
Dehradun. Chief Minister Pushkar Singh Dhami has sought a detailed report of the expert committee from the District Magistrate of Chamoli in connection with the landslide in Joshimath. CM Dhami said that on the report of the expert committee…
35",,,,,['https://pbs.twimg.com/card_img/1615091981645905925/pVbLjfVt?format=jpg&name=small'],https://twitter.com/enews24x7_in/status/1609813702865305600,,,"{'neg': 0.0, 'neu': 0.945, 'pos': 0.055, 'compound': 0.4939}",0.4939,pos
News India,@newsindia24x7_,2023-01-02T06:29:08.000Z,"News India
@newsindia24x7_
·
2 Jan","Inauguration of open gym in Joshimath, CM Dhami inaugurated virtually...

#Joshimath #Uttarakhand #newsindia
@pushkardhami
 @abhi_newsanchor
0:41
51 views
140",,,,,[],https://twitter.com/newsindia24x7_/status/1609798931973828608,,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
Khabar Uttarakhand,@KUttarakhand,2023-01-03T13:11:47.000Z,"Khabar Uttarakhand
@KUttarakhand
·
3 Jan","Landslide, slanted electric poles and trees in new area of ​​Joshimath https://khabaruttarakhand.com/landslide-slanted-electric-poles-and-trees-in-new-area-of-joshimath/… via
@kuttarakhand
 #joshimath
khabaruttarakhand.com
Landslide, bent electric poles and trees in new area in Joshimath | Kh.
The situation in Joshimath has started getting worse due to landslides. Many new houses have been threatened by landslides. Along with this, the poles for trees and high tension wires have also become skewed. Landslide is continuously increasing in Joshimath
75",,,,,['https://pbs.twimg.com/card_img/1615469387275816960/opIWoHBU?format=jpg&name=small'],https://twitter.com/KUttarakhand/status/1610262649077628928,GPE,,"{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.8126}",-0.8126,neg
Devbhoomi Dialogue,@Devbhoomidialo,2023-01-03T12:58:35.000Z,"Devbhoomi Dialogue
@Devbhoomidialo
·
3 Jan","Government should save Joshimath. First cracks, now water seepage. An invitation to a bigger tragedy #Joshimath #LandslideEffect #JoshimathSinking #CracksInHouses #Rehabilitation #Uttarakhand #ChamoliDistrict
Devbhoomi Dialogue
@devbhoomidialo
Government should save Joshimath. First cracks, now water seepage. An invitation to a bigger tragedy #Joshimath #LandslideEffect #JoshimathSinking #CracksInHouses #Rehabilitation #Uttarakhand #ChamoliDistrict
1
18
39
1,709",,1,18,39,"['https://pbs.twimg.com/card_img/1615659418988810246/z1MceJ9r?format=jpg&name=orig', 'https://pbs.twimg.com/profile_images/1512429297549873161/P9wSLYAp_mini.jpg']",https://twitter.com/Devbhoomidialo/status/1610259327830609920,,,"{'neg': 0.149, 'neu': 0.743, 'pos': 0.108, 'compound': -0.5267}",-0.5267,neg
Media Scarecrow,@MSMscarecrow,2023-01-03T09:56:24.000Z,"Media Scarecrow
@MSMscarecrow
·
3 Jan","Only vote bank is #Hindus, only #BJP.
#joshimath
The Times Of India
@timesofindia
,
Jan 3
Joshimath - the sinking hill town of Uttarakhand

https://timesofindia.indiatimes.com/city/dehradun/joshimath-the-sinking-hill-town-of-uttarakhand/photostory/96703797.cms…
1
63",,,,1,['https://pbs.twimg.com/profile_images/1559870809619189760/rYxcKbRW_mini.jpg'],https://twitter.com/MSMscarecrow/status/1610213478525984770,,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
Janjwar Media,@janjwar_com,2023-01-03T09:20:53.000Z,"Gunjur Media
@janjurcom
·
P Jan","After huge cracks in houses and lands, now the poles of high tension wires in Joshimath are skewed, one step more danger
The following media contains potentially sensitive content. Change settings
view
75",,,,,[],https://twitter.com/janjwar_com/status/1610204539617185799,ORG,,"{'neg': 0.157, 'neu': 0.783, 'pos': 0.06, 'compound': -0.5709}",-0.5709,neg
kautilyasTOI,@kautilyasTOI,2023-01-03T02:08:15.000Z,"kautilyasTOI
@kautilyasTOI
·
Jan 3","#Joshimath: 'Serious', says #Uttarakhand CM Pushkar Singh Dhami as locals say 'living on atom bomb' #environment 
@timesofindia
@UttarakhandTOI
 https://timesofindia.indiatimes.com/city/dehradun/joshimath-serious-says-uttarakhand-cm-pushkar-singh-dhami-as-locals-say-living-on-atom-bomb/articleshow/96694906.cms…
Download the TOI app now:
https://timesofindia.onelink.me/mjFd/toisupershare…
timesofindia.indiatimes.com
Joshimath: 'Serious', says Uttarakhand CM Pushkar Singh Dhami as locals say 'living on atom bomb' |...
Anxious residents of Joshimath held an ""urgent"" press conference in Dehradun on Monday to demand for their ""immediate rehabilitation"" and urged the st
3
177",,,,3,['https://pbs.twimg.com/card_img/1615155147088486402/PyZQQ0Bt?format=jpg&name=small'],https://twitter.com/kautilyasTOI/status/1610095664846995456,,,"{'neg': 0.138, 'neu': 0.862, 'pos': 0.0, 'compound': -0.836}",-0.836,neg
Rg 11 channel,@Rg11channel1,2023-01-04T18:30:41.000Z,"Rg 11 channel
@Rg11channel1
·
5 Jan","Joshimath is boiling.
Is anybody listening?

#Devbhooomi #Uttarakhand #Joshimath
atulsati
@atulsati1
·
4 Jan
Hamara elan ..!

R ..Par ..!
1
67",,,1,,"['https://pbs.twimg.com/profile_images/1470749588369784833/9hcp9KNK_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1610687616395145218/pu/img/-flT2i_7nDXJwwMI.jpg']",https://twitter.com/Rg11channel1/status/1610705289468313601,WORK_OF_ART,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
Rg 11 channel,@Rg11channel1,2023-01-04T18:29:06.000Z,"Rg 11 channel
@Rg11channel1
·
4 Jan","Joshimath of #Uttarakhand is currently in a serious crisis and this important hill town is sinking.
#Joshimath #Uttarakhand #uttarakhandnews
youtube.com
Badrinath's gateway Joshimath in trouble | Ground Report
Joshimath of #uttarakhand is currently in a serious crisis and this important hill town is sinking. Situated at an altitude of about 6,000 feet above sea level, Joshimath is the state's ...
1
2
119",,,1,2,['https://pbs.twimg.com/card_img/1613171049302220802/gxgL8tDj?format=jpg&name=240x240'],https://twitter.com/Rg11channel1/status/1610704890862669825,WORK_OF_ART,,"{'neg': 0.198, 'neu': 0.749, 'pos': 0.053, 'compound': -0.872}",-0.872,neg
Pyara Uttarakhand,@PyaraUKofficial,2023-01-04T17:18:08.000Z,"cute uttarakhand
@pyaarukoofficial
,
4 Jan","Big trouble on 16000 people in Joshimath

#joshimath
5
96
190
5,795",,5,96,190,['https://pbs.twimg.com/ext_tw_video_thumb/1610686982249930752/pu/img/TyOOLetl1cvPJGrM.jpg'],https://twitter.com/PyaraUKofficial/status/1610687034477391873,GPE,,"{'neg': 0.213, 'neu': 0.787, 'pos': 0.0, 'compound': -0.4019}",-0.4019,neg
"Anjul Negi (Kotdwar,Uk)",@UkAnjul,2023-01-04T17:16:33.000Z,"Anjul Negi (Kotdwar, UK)
@ukanjul
,
4 Jan","#uttrakhand 
Jis kisi ko lag raha #Joshimath pahad ke logon ke vikas ki bhet chad raha hai ..nahi woh to tourist ko aaram dene ki bhent chad raha jab tak yeh vikas hoga tab tak wahan ke
 log jaa chuke honge shayad kisi plain area mein 
Enjoy BJP government 
1
4
234",♥ 🥳 🥳 🥳,1,,4,[],https://twitter.com/UkAnjul/status/1610686635179675648,GPE,,"{'neg': 0.045, 'neu': 0.896, 'pos': 0.06, 'compound': 0.2023}",0.2023,pos
small people like high,@UnchiPasand,2023-01-04T17:13:38.000Z,"small people like high
@UnchiPasand
,
Jan 4","#Joshimath Let all the people of Uttarakhand come together to save Joshimath and prevent the breaking of the mountains going on at present, otherwise this ancient pilgrimage site will be seen only in books.
Everyone should come together and raise their voice against the Bhand government. Do not want such development
Times Now Navbharat
@TNNavbharat
,
Jan 4
#OpinionIndiaKa: Is a tragedy like Kedarnath about to come? Big disaster is about to hit Joshimath?

Watch with @Anant_Tyagii and @anchor_barkha, the mountain is beckoning..the danger is rising!

#Joshimath #PushkarSinghDhami #Uttarakhand
5:17
481 views
1
1
121",🕙,,1,1,"['https://pbs.twimg.com/profile_images/1584864119647531008/F4ID0nhQ_mini.jpg', 'https://pbs.twimg.com/media/FlpKJ4laUAEc8Bf.jpg']",https://twitter.com/UnchiPasand/status/1610685899955916800,,,"{'neg': 0.133, 'neu': 0.801, 'pos': 0.066, 'compound': -0.8391}",-0.8391,neg
Times Now Navbharat,@TNNavbharat,2023-01-04T16:55:38.000Z,"Times Now Navbharat
@TNNavbharat
·
4 Jan","#OpinionIndiaKa: Is a tragedy like Kedarnath about to come? Big disaster is about to hit Joshimath?
@Anant_Tyagii
 And
@anchor_barkha
 See with, the mountain is pointing..the danger is rising!

#Joshimath #PushkarSinghDhami #Uttarakhand
2
2
13
1,238",,2,2,13,['https://pbs.twimg.com/media/FlpKJ4laUAEc8Bf.jpg'],https://twitter.com/TNNavbharat/status/1610681370585731072,WORK_OF_ART,,"{'neg': 0.292, 'neu': 0.65, 'pos': 0.058, 'compound': -0.9012}",-0.9012,neg
Rachna Upadhyay (NEWS 18),@RachnaUpadhya,2023-01-04T16:54:00.000Z,"Rachna Upadhyay (NEWS 18)
@RachnaUpadhya
,
Jan 4","Ropeway built in Asia's longest #Joshimath closed ... Tourists stopped after #landslide under Tower 1

#joshimath #landslide
1
7
436",😊 ❣ 😊,,1,7,[],https://twitter.com/RachnaUpadhya/status/1610680959887904768,CARDINAL,,"{'neg': 0.106, 'neu': 0.894, 'pos': 0.0, 'compound': -0.2263}",-0.2263,neg
Uttarakhand Post,@uttarakhandpost,2023-01-04T16:53:41.000Z,"Uttarakhand Post
@uttrakhandpost
,
4 Jan","Is there going to be a big disaster in #Joshimath? People in awe after seeing these mysterious cracks

#Joshimath #chamoli #badrinath #uttarakhandnews #Uttarakhand
youtube.com
Cracks in houses in Joshimath, danger of disaster! , Joshimath Cracks in...
Is there going to be a big disaster in Joshimath? People in awe after seeing these mysterious cracks. Joshimath | Breaking #josimath #joshimath #Chamoli #uttarakhandpost #uttarakha...
2
202",,,,2,['https://pbs.twimg.com/card_img/1613489981422444545/BANDKye3?format=jpg&name=240x240'],https://twitter.com/uttarakhandpost/status/1610680878698749953,ORG,,"{'neg': 0.229, 'neu': 0.771, 'pos': 0.0, 'compound': -0.9542}",-0.9542,neg
Bimaloan.net,@bimaloan0,2023-01-04T16:49:02.000Z,"Bimaloan.net
@bimaloan0
·
4 Jan","The process of land subsidence is increasing in Joshimath, Uttarakhand.. Water has started coming out from places after tearing the earth.. The cracks are getting deeper #Joshimath
#savejoshimath #Uttrakhand
Video Credit :-
@pri_kandpal
0:58
891 views
5
9
1,593",,,5,9,[],https://twitter.com/bimaloan0/status/1610679710974976005,,,"{'neg': 0.0, 'neu': 0.933, 'pos': 0.067, 'compound': 0.3818}",0.3818,pos
@mohitbisht07,@mohitbisht07,2023-01-04T16:18:13.000Z,"@Mohitbishat07
@Mohitbishat_07
·
4 go","such projects caught fire
Due to which our people of Uttarakhand are not safe
The government doesn't care about the situation the residents there are going through or will go through because of those projects.
We don't want such a government.
Who can't think of the interest of her state

#joshimath #Uttarakhand #joshimath
0:20
100 views
1
217",❤ 💫 🥲 🥲,,1,,"['https://pbs.twimg.com/media/FlpBdwjagAIAaiM?format=jpg&name=small', 'https://pbs.twimg.com/media/FlpBkCaaEAA4qaw?format=jpg&name=360x360', 'https://pbs.twimg.com/ext_tw_video_thumb/1610671909326422016/pu/img/XNIF_S5F6tKckSFC.jpg']",https://twitter.com/mohitbisht_07/status/1610671952762667010,,,"{'neg': 0.138, 'neu': 0.814, 'pos': 0.048, 'compound': -0.5656}",-0.5656,neg
Bimaloan.net,@bimaloan0,2023-01-04T16:17:51.000Z,"Bimaloan.net
@bimaloan0
·
4 Jan","Uttarakhand BJP formed a 14-member committee to assess the landslides and damages taking place in #Joshimath .
Advaita Kala
@AdvaitaKala
·
4 Jan
Stop selling lands in the hills! Get an environment policy. Do not permit new habitation. govt needs a policy - else the fragile Himalayan ecosystem will seek it's revenge #uttarakhand twitter.com/SriiShT/status…
39",,,,,['https://pbs.twimg.com/profile_images/1601474799519559680/fXt95PIW_mini.jpg'],https://twitter.com/bimaloan0/status/1610671861288812544,,,"{'neg': 0.16, 'neu': 0.84, 'pos': 0.0, 'compound': -0.8313}",-0.8313,neg
Bimaloan.net,@bimaloan0,2023-01-04T16:14:07.000Z,"Bimaloan.net
@bimaloan0
·
4 Jan","#joshimath
Chamoli Police Uttarakhand
@chamolipolice
,
Jan 4
Deputy Superintendent of Police Chamoli, along with the district administration, conducted a ground inspection of the Bhu Dhasaon in Joshimath town area, while briefing the police force, instructed to remain alert.
@uttarakhandcops @DIGGarhwalRange
22",,,,,"['https://pbs.twimg.com/profile_images/1560560836422533121/VZIE6NY-_mini.jpg', 'https://pbs.twimg.com/media/Fln0YSIagAE_16D?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Fln0YSGacAE4sgL?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Fln0YSGaAAIeMqy?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Fln0YSHacAAKwxf?format=jpg&name=360x360']",https://twitter.com/bimaloan0/status/1610670921852805121,,,"{'neg': 0.0, 'neu': 0.945, 'pos': 0.055, 'compound': 0.296}",0.296,pos
