UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL,NER,gender,scores,sentiment_score,overall_sentiment
Himanshi Bisht,@himanshi__bisht,2023-01-04T18:18:40.000Z,"Himanshi Bisht
@himanshi__bisht
,
4 Jan","#SaveJoshimath #Uttrakhand #Joshimath 
0:12
562 views
1
11
29
1,375",🙏 🙏 🙏,1,11,29,[],https://twitter.com/himanshi__bisht/status/1610702266742509569,PERSON,female,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
Sarita Tiwari,@saritatiwariuk,2023-01-04T17:21:23.000Z,"Sarita Tiwari
@saritatiwariuk
·
4 Jan","Joshimath: The people of Joshimath prepared for a fierce movement, took out a torchlight procession, continuous landslides in the area, falling walls, even big hotels on the verge of collapse

#joshimath
18
47
1,790",,,18,47,['https://pbs.twimg.com/ext_tw_video_thumb/1610687158372958208/pu/img/c2U5hm8OzeR74nRJ.jpg'],https://twitter.com/saritatiwariuk/status/1610687851578142721,PERSON,female,"{'neg': 0.134, 'neu': 0.812, 'pos': 0.053, 'compound': -0.4404}",-0.4404,neg
Ishita Mishra,@khabrimishra,2023-01-04T16:22:34.000Z,"Ishita Mishra
@khabrimishra
,
4 Jan","Something is really not well with #Joshimath
1
12
62
9,492",,1,12,62,"['https://pbs.twimg.com/media/FlpClQUaUAU_ygt?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FlpClqyaAAA5s_c?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FlpCmA8akAIxRFF?format=jpg&name=small', 'https://pbs.twimg.com/media/FlpCmXEagAM_fz1?format=jpg&name=360x360']",https://twitter.com/khabrimishra/status/1610673048142897154,PERSON,female,"{'neg': 0.189, 'neu': 0.811, 'pos': 0.0, 'compound': -0.2715}",-0.2715,neg
Kalpana Jhajharia Kalpana Jhajharia,@kalpanajhajhar1,2023-01-04T14:33:59.000Z,"Kalpana Jhajharia Kalpana Jhajharia
@kalpanajhajhar1
,
Jan 4","After watching many videos....can say
@PMOIndia
 @HMOIndia
 @MygovU
 @pushkardhami
 should take proactive action to save residents of #Joshimath
Every life is important.
Residents should shift with belongings & all documents as soon as possible.
AajTak
@aajtak
,
Jan 3
land is sinking in joshimath
Why is no one coming to save Joshimath?
#BlackAndWhiteOnAajTak| @sudhirchaudhary
2
6
516",,,2,6,"['https://pbs.twimg.com/profile_images/1395254075285860354/LG45JNi8_mini.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1610308136421974016/img/dEZU8sv-DKRlFnq8.jpg']",https://twitter.com/kalpanajhajhar1/status/1610645725502636032,PERSON,female,"{'neg': 0.037, 'neu': 0.781, 'pos': 0.183, 'compound': 0.8316}",0.8316,pos
Sonam Bhatt Awasthi,@Sonam_Bhatt10,2023-01-04T13:49:12.000Z,"Sonam Bhatt Awasthi
@sonam_bhatt10
,
4 Jan","Forget #Haldwani think about #Joshimath. Set your preference.
#Save_Joshimath
Pyara Uttarakhand
@PyaraUKofficial
,
Jan 4
Severe crisis on more than 16,000 people of Joshimath, houses, shops, schools, all the land is sliding, houses are broken, forced to stay outside in zero temperature

Many families left their homes in the hope that they would be able to live somewhere else. Request to the government to settle them in a better place

#Save_Joshimath
0:54
7,267 views
9
875",🙏 😭,,,9,['https://pbs.twimg.com/profile_images/1557324401464332291/49qTmL-6_mini.jpg'],https://twitter.com/Sonam_Bhatt10/status/1610634453323513857,PERSON,female,"{'neg': 0.172, 'neu': 0.76, 'pos': 0.068, 'compound': -0.836}",-0.836,neg
jyoti punwani,@jyotipunwani,2023-01-04T08:31:08.000Z,"Jyoti Punwani
@jyotipoonvani
,
4 Jan","But #Uttarakhand govt is oblivious. #CharDhaam is all impt. 
#Joshimath
Anoop Nautiyal
@Anoopnautiyal1
·
4 Jan
Day by day, the situation due to the sinking of the town of  #Joshimath in #Uttarakhand is worsening. It is wise to prepare in advance & keep the worse case scenario in mind. Being proactive is necessary to minimize damages if any. Govt & @ChamoliDm must conduct mock drills soon.
1
426",,,,1,"['https://pbs.twimg.com/profile_images/1540664845300748289/yXwtYaah_mini.jpg', 'https://pbs.twimg.com/media/Flmz98YaYAAeoot?format=jpg&name=small']",https://twitter.com/jyotipunwani/status/1610554410891120641,PERSON,female,"{'neg': 0.195, 'neu': 0.708, 'pos': 0.097, 'compound': -0.8338}",-0.8338,neg
SANDHYA HALCHAL,@sandhya_halchal,2023-01-04T07:49:28.000Z,"SANDHYA HALCHAL
@sandhya_halchal
·
4 Jan","21 families were evacuated from Joshimath town in Uttarakhand last night amidst the appalling situation of local landslides.
 #landslide #landsinking #Joshimath #Uttarakhand #BREAKING #PushkarSinghDhami #Trending
1
166",,,1,,['https://pbs.twimg.com/media/FlnNKIXaMAYV4-1?format=jpg&name=small'],https://twitter.com/sandhya_halchal/status/1610543925143699456,PERSON,female,"{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.3612}",-0.3612,neg
Anamika gaur,@ByAnamika,2023-01-04T05:31:53.000Z,"Anamika Gaur
@Byanamika
,
4 Jan","After the cracks in the houses, water leakage has also started, the danger is increasing with time, priority should be to secure 500 families, 6 families have migrated to a safer place, but it is possible for everyone. No, people are still looking towards the government with hope #Joshimath
3
21
41
1,532",,3,21,41,['https://pbs.twimg.com/ext_tw_video_thumb/1610509072239034369/pu/img/Tz7kTkkwVIfuzHJj.jpg'],https://twitter.com/ByAnamika/status/1610509299595505664,PERSON,female,"{'neg': 0.087, 'neu': 0.783, 'pos': 0.13, 'compound': 0.3506}",0.3506,pos
Anamika gaur,@ByAnamika,2023-01-04T03:41:31.000Z,"Anamika Gaur
@Byanamika
,
4 Jan","After Tehri, now people are forced to migrate in Joshimath. People are forced to pack their belongings and leave the village, home and bar. But neither the louse is crawling on the head of the government. Neither the media sitting in Delhi is worried about any accident Waiting if something happens, will go to take stock #Joshimath_Bachao #Joshimath
6
75
126
6,180",,6,75,126,['https://pbs.twimg.com/ext_tw_video_thumb/1610480581586059265/pu/img/0WbplqAoIMpvIq7n.jpg'],https://twitter.com/ByAnamika/status/1610481524079722496,PERSON,female,"{'neg': 0.173, 'neu': 0.788, 'pos': 0.04, 'compound': -0.806}",-0.806,neg
Himanshi Mehra,@Himanshi_mehra_,2023-01-05T20:24:14.000Z,"Himanshi Mehra
@Himanshi_mehra_
,
Jan 6","Guys pray for #Joshimath 

#joshimathsinking #joshimath #prayforjoshimath #Uttrakhand #devbhumi
20
212
247
13K",🔱 🔱 🙏 🥺,20,212,247,"['https://pbs.twimg.com/media/FlvDTlsaAAAuyrY?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FlvDXBTacAApFAe?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FlvDaSVacAAgbxl?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FlvDaizaUAA4Eqf?format=jpg&name=360x360']",https://twitter.com/Himanshi_mehra_/status/1611096254364418049,PERSON,female,"{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.3182}",0.3182,pos
Akansha Chauhan,@_AkanshaChauhan,2023-01-05T20:05:22.000Z,"Akansha Chauhan
@_AkanshChauhan
,
6 Jan","What is the reason for cracks in Joshimath's houses and road subsidence? Special team of scientists will reveal

#JoshimathIsSinking #Joshimath #Uttrakhand
0:56
533 views
2
5
46
1,305",,2,5,46,[],https://twitter.com/_AkanshaChauhan/status/1611091508249374720,PERSON,female,"{'neg': 0.0, 'neu': 0.903, 'pos': 0.097, 'compound': 0.4019}",0.4019,pos
pooja yadav,@anchorpooja,2023-01-05T20:02:27.000Z,"pooja yadav
@anchorpooja
·
6 Jan","Cracks in 561 houses in more than 9 areas
Is there going to be a big trouble??
@OfficeofDhami
 
@#joshimath #joshimathsinking
1
1
14
620",,1,1,14,[],https://twitter.com/anchorpooja/status/1611090774518824961,PERSON,female,"{'neg': 0.139, 'neu': 0.861, 'pos': 0.0, 'compound': -0.4696}",-0.4696,neg
Deepa Bafila,@BafilaDeepa,2023-01-05T19:11:59.000Z,"Deepa Bafila
@BafilaDeepa
·
6 Jan","#Joshimath is in trouble...need your support...more than 550 families and population of more than 22 thousand are on the streets in severe cold, government is running like a turtle, people are scared, do something
@PMOIndia
 #joshimathsinking
God Badri Vishal keep everyone safe
3
15
55
5,790",🚩 🙏 😑,3,15,55,['https://pbs.twimg.com/ext_tw_video_thumb/1611077964401348608/pu/img/-KlYS6IECo0HFF6t.jpg'],https://twitter.com/BafilaDeepa/status/1611078072706686976,PERSON,female,"{'neg': 0.106, 'neu': 0.75, 'pos': 0.144, 'compound': 0.25}",0.25,pos
Romola Butalia,@romolabutalia,2023-01-05T18:14:32.000Z,"Romola Butalia
@romolabutalia
·
5 Jan","For those of us for whom our reason for existence is the #Himalaya, #Joshimath is not the symbol of our collective grief, it is the beginning of Mahapralaya.
@rastafaribaba
 @HarshVatsa7
 @Indian_Rivers
 @kumkumdasgupta
 @NeelamKapur
 @EndangeredHimal
 @AyeshaBanerjee6
 @aagnay
 @shivaniazadTOI
Weatherman Shubham
@shubhamtorres09
·
5 Jan
Joshimath may not be buried somewhere in history
Don't sacrifice your life in the development of human beings
Joshimath is the land of Vedic knowledge of Shankaracharya
These are the land of the pride of the Joshimath Himalayas

#Save_Joshimath
Show this thread
2
4
6
775",,2,4,6,"['https://pbs.twimg.com/profile_images/1609577219382444033/jiuJP-jj_mini.jpg', 'https://pbs.twimg.com/media/FluAwGsakAAp5HB?format=jpg&name=small']",https://twitter.com/romolabutalia/status/1611063614907256832,PERSON,female,"{'neg': 0.037, 'neu': 0.936, 'pos': 0.027, 'compound': -0.2023}",-0.2023,neg
Sapna Sharma,@SapnaSh16530273,2023-01-05T16:49:35.000Z,"sapna sharma
@spansh16530273
,
5 Jan","#Honorable Supreme Court
Railway land
The verdict of the illegal occupants has been given #haldwani avedh kabza
 but people of #joshimath
 of what? Whose house and whose land is illegally occupied on any railway land
  There is no land! Amazing justice
2
3
12
372",🤔,2,3,12,[],https://twitter.com/SapnaSh16530273/status/1611042235075940354,PERSON,female,"{'neg': 0.091, 'neu': 0.663, 'pos': 0.245, 'compound': 0.8622}",0.8622,pos
Bhagyashri Patwardhan,@bvpat2501,2023-01-05T16:46:20.000Z,"Bhagyashree Patwardhan
@bvpat2501
,
5 Jan","What is happening in #Joshimath 
13
18
103
10.8K",😢,13,18,103,"['https://pbs.twimg.com/media/FluRoRFacAAYHxT?format=jpg&name=small', 'https://pbs.twimg.com/media/FluRoQ8agAAJyTw?format=jpg&name=small']",https://twitter.com/bvpat2501/status/1611041419162185729,PERSON,female,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
Nidhi Jamwal,@JamwalNidhi,2023-01-05T16:08:32.000Z,"Nidhi Jamwal
@jamwalnidhi
,
5 Jan","Uttarakhand: Sinking of land aggravates in Joshimath; houses on verge of collapsing, protests erupt
@pushkardhami
 @cmo_uttarakhand
 @TIRATHSRAWAT
 @tsrawatbjp
 @OfficeofDhami
 @PMOIndia
 @moefcc
 @UNEP_AsiaPac
 

#Joshimath #joshimathsinking #JoshimathIsSinking
gaonconnection.com
Uttarakhand: Sinking of land aggravates in Joshimath; houses on verge of collapsing, protests erupt
Uttarakhand’s Joshimath has been in news for its sinking land which is posing a threat to the local residents. The collective anxieties of the residents peaked yesterday after fresh cracks...
5
11
1,405",,,5,11,['https://pbs.twimg.com/card_img/1613575818353020930/Wt316oq_?format=jpg&name=small'],https://twitter.com/JamwalNidhi/status/1611031905700548611,PERSON,female,"{'neg': 0.228, 'neu': 0.744, 'pos': 0.028, 'compound': -0.9287}",-0.9287,neg
Uma Kant Singh,@umakantsingh_IN,2023-01-05T13:53:11.000Z,"Uma Kant Singh
@umakantsingh_IN
·
5 Jan","#Joshimath
Uma Kant Singh
@umakantsingh_IN
·
5 Nov 2021
How Narendra Modi shedding false tears on #Kedarnath, if tears are true how he saying, in next 10 yrs more tourists in #Uttarakhand than the last 100 yrs, is just mass murder of people of Uttarakhand ! #KedarnathDham 

https://youtu.be/v1SrrUmvgrA
1
1
1
195",,1,1,1,['https://pbs.twimg.com/profile_images/1602241135665369089/3idlPhiz_mini.jpg'],https://twitter.com/umakantsingh_IN/status/1610997844697317380,PERSON,female,"{'neg': 0.164, 'neu': 0.784, 'pos': 0.052, 'compound': -0.7177}",-0.7177,neg
Uma Kant Singh,@umakantsingh_IN,2023-01-05T13:52:01.000Z,"Uma Kant Singh
@umakantsingh_IN
·
5 Jan","I am vindicated, when two options, either to become PM of India or to save lives of Pahari, I to choose latter! This why I used the phrase ""mass murder""! #Joshimath
Uma Kant Singh
@umakantsingh_IN
·
21 Jun 2021
Creation of Uttarakhand was mass murder plan of the people of region,previously most of people from mountains were settling in Ganga plains,even up to Gorakhpur,it so that a person CM of Uttar Pradesh right now,who settled in eastern UP,population pressure was eased? North Bengal
Show this thread
1
398",,,1,,['https://pbs.twimg.com/profile_images/1602241135665369089/3idlPhiz_mini.jpg'],https://twitter.com/umakantsingh_IN/status/1610997549451866114,PERSON,female,"{'neg': 0.074, 'neu': 0.81, 'pos': 0.116, 'compound': 0.4559}",0.4559,pos
Neha Sahay,@NehaSahay14,2023-01-05T12:08:34.000Z,"Neha Sahay
@NehaSahay14
·
5 Jan","Uttarakhand's Hindu town Joshimath is 'sinking'; Exodus of residents likely | Details

#Uttarakhand #Joshimath #joshimathsinking #JoshimathIsSinking #Hinduism #hindu #Uttrakhand #Trending #trendingvideo #trendingvideos
youtube.com
Uttarakhand's Hindu town Joshimath is 'sinking'; Exodus of residents...
Joshimath, a Hindu holy town in the state of Uttarakhand, is sinking. At least 570 houses have developed cracks as a result of continued land subsidence. Res...
72",,,,,['https://pbs.twimg.com/card_img/1613546446254444546/s97oqd4C?format=jpg&name=240x240'],https://twitter.com/NehaSahay14/status/1610971518070304769,PERSON,female,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
Sakshi Joshi,@sakshijoshii,2023-01-05T10:11:17.000Z,"Sakshi Joshi
@sak is good
·
5","Such a big pilgrimage of Hindus #Joshimath is about to end… Where is the double engine government?
Why is the torchlight procession taking place there? Why are people forced not to go inside the house in the cold? Why are there demonstrations, why is mother crying? Why are people angry?
https://youtu.be/hwvWxCzrqug
144
988
3,364
167.4K",,144,988,"3,364",['https://pbs.twimg.com/ext_tw_video_thumb/1610941619855044608/pu/img/Z7euMY_Asp4jP8lY.jpg'],https://twitter.com/sakshijoshii/status/1610942001436053504,PERSON,female,"{'neg': 0.169, 'neu': 0.831, 'pos': 0.0, 'compound': -0.885}",-0.885,neg
Divya Bhaskar,@Divya_Bhaskar,2023-01-05T09:37:22.000Z,"Divya Bhaskar
@Divya_Bhaskar
·
5 Jan","Landslides damage many houses in Uttarakhand: Landslides in Joshimath are taking a terrible shape, cracks started growing in houses, many families shifted.
#Uttarakhand | #Joshimath | #LandSlide
divyabhaskar.co.in
Landslides damage many houses in Uttarakhand: Landslides in Joshimath are taking a terrifying form, houses in...
In Uttarakhand's Joshimath, 561 houses have suffered cracks due to landslides. The Tantra said that a total of 66 families have shifted from Joshimath after the cracks in the houses. | Landslide in Uttarakhand...
1
9
525",,,1,9,['https://pbs.twimg.com/card_img/1613496987617222657/I4DcP7QB?format=jpg&name=small'],https://twitter.com/Divya_Bhaskar/status/1610933466740445184,PERSON,female,"{'neg': 0.193, 'neu': 0.787, 'pos': 0.02, 'compound': -0.9403}",-0.9403,neg
Renu saklani,@RenukaSaklani,2023-01-05T08:41:03.000Z,"Renu Sakleni
@Renukasakalani
·
5 John","Joshimath Sinking: PMO is monitoring the Joshimath landslide case

https://amarujala.com/photo-gallery/dehradun/joshimath-sinking-case-under-the-supervision-of-pmo-uttarakhand-new-in-hindi-read-more-updates-in-hindi…

#uttarakhandnews #dehradunnews
@AmarUjalaNews
 #joshimath #joshimathsinking
@PMOIndia
 #PMModi
@narendramodi
 
@pushkardhami
 
@OfficeofDhami
 #landslide
amarujala.com
Joshimath Sinking: PMO is monitoring the Joshimath landslide case, survey will reach shortly...
The Joshimath landslide case is being monitored by the PMO. Joint Magistrate Deepak Saini said that the PMO's constant
1
4
3
513",,1,4,3,['https://pbs.twimg.com/card_img/1613461657149407233/BAcdVmzp?format=jpg&name=small'],https://twitter.com/RenukaSaklani/status/1610919292945694720,PERSON,female,"{'neg': 0.0, 'neu': 0.98, 'pos': 0.02, 'compound': 0.0258}",0.0258,pos
Michelle (MAW) Webster,@SaPPhireEBeRite,2023-01-07T18:57:55.000Z,"Michelle (MAW) Webster
@SaPPhireEBeRite
·
8 Jan","#Joshimath Sinking: 38 #Families Displaced In #Uttarakhand’s #Sacred Town via 
@Indiatimes
 https://indiatimes.com/videos/india/joshimath-sinking-38-families-displaced-in-uttarakhands-sacred-town-589638.html?utm_source=share&utm_medium=web_tw… yeah, yeah thank you all for your #kindness and act of #Love hundred fold return unto you
indiatimes.com
Joshimath Sinking: 38 Families Displaced In Uttarakhand’s Sacred Town
Fissures in houses and roadways have appeared in Joshimath, a sacred town in Uttarakhand. This has caused alarm among the residents, and they have described the town as ""gradually sinking.""
86",,,,,['https://pbs.twimg.com/card_img/1614153304400924674/vVJONiE5?format=jpg&name=small'],https://twitter.com/SaPPhireEBeRite/status/1611799308063637505,PERSON,female,"{'neg': 0.066, 'neu': 0.843, 'pos': 0.091, 'compound': 0.2263}",0.2263,pos
Ritika Chandola,@RitikaChandola,2023-01-07T18:26:20.000Z,"Ritika Chandola
@hritikchandola
,
7 Jan","Video on #Joshimath coming tomorrow >>>>>
2
5
90
2,883",,2,5,90,[],https://twitter.com/RitikaChandola/status/1611791360021135361,PERSON,female,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
Ritu #truthseeker,@RituRathaur,2023-01-07T16:39:23.000Z,"Ritu #truthseeker
@RituRathaur
,
Jan 7","Devas are leaving the very sacred Himalayan town of #Joshimath, the land of hamsas..
As we sit and watch this dance of devastation of our teerath sthals by modern day jalne is
#joshimathsinking
24
179
351
23.6K",,24,179,351,"['https://pbs.twimg.com/media/Fl4jNfVaYAA2CH1?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Fl4jN_pagAMYVIg?format=jpg&name=360x360']",https://twitter.com/RituRathaur/status/1611764444237004801,PERSON,female,"{'neg': 0.072, 'neu': 0.928, 'pos': 0.0, 'compound': -0.4215}",-0.4215,neg
Himanshi Bisht,@himanshi__bisht,2023-01-07T16:38:16.000Z,"Himanshi Bisht
@himanshi__bisht
,
7 Jan","Disturbing videos of #Joshimath are coming out every day. It really hurts when you see your city and your people in hard times!
 #savejoshimath #joshimathsinking #Uttrakhand
1
5
22
707",,1,5,22,['https://pbs.twimg.com/media/Fl4i9pracAA_Uuo?format=jpg&name=small'],https://twitter.com/himanshi__bisht/status/1611764162757267456,PERSON,female,"{'neg': 0.251, 'neu': 0.749, 'pos': 0.0, 'compound': -0.8118}",-0.8118,neg
Divya Kumar Soti,@DivyaSoti,2023-01-07T15:31:52.000Z,"Divya Kumar Soti
@divyasoti
,
7 Jan","Cracks appear in Jyotirmath Premises and around Adi Shankracharya Seat. #Joshimath
4
29
47
4,154",,4,29,47,[],https://twitter.com/DivyaSoti/status/1611747455305158657,PERSON,female,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
jyoti punwani,@jyotipunwani,2023-01-07T15:12:48.000Z,"Jyoti Punwani
@jyotipoonvani
,
7 Jan","Replying to 
@singhvarun
 and 
@narendramodi
Like #Joshimath ?
1
234",,,,1,[],https://twitter.com/jyotipunwani/status/1611742656199286786,PERSON,female,"{'neg': 0.0, 'neu': 0.737, 'pos': 0.263, 'compound': 0.3612}",0.3612,pos
Priyanka Sharma,@Priyankapoonchi,2023-01-07T14:50:11.000Z,"Priyanka Sharma
@priyankapoonchi
,
7 Jan","Modi Adani's friendship is the best in the world
https://youtu.be/6ajwrpn4M3w
#AdaniKaAsliInterview
#AapKiAdalat
#RajatSharma
#AdaniInAapKiAdalat
#joshimath
youtube.com
MODI ADANI FRIENDSHIP! Adani Modi's Jai Veeru Jodi! ADANI MODITH...
MODI ADANI FRIENDSHIP
119",,,,,['https://pbs.twimg.com/card_img/1614597555861737472/bM4Csop_?format=jpg&name=240x240'],https://twitter.com/Priyankapoonchi/status/1611736964159639553,PERSON,female,"{'neg': 0.0, 'neu': 0.635, 'pos': 0.365, 'compound': 0.9428}",0.9428,pos
Suman sujit,@Sumansujitmond9,2023-01-07T13:55:54.000Z,"Suman sujit
@Sumansujitmond9
,
Jan 7","#भिक्षा_यात्रा #APGoon #AntiNational_PunjabGov #Joshimath #Karnatak
Rajendra Hindu
host
#भिक्षा_यात्रा #APGoon #AntiNational_PunjabGov #Joshimath #Karnatak
238 tune in
,
Jan 7
,
5:42:23
Play recording
54",🚩,,,,['https://pbs.twimg.com/profile_images/1609428340758167553/wMJDeIxI_mini.jpg'],https://twitter.com/Sumansujitmond9/status/1611723305089929218,PERSON,female,"{'neg': 0.0, 'neu': 0.893, 'pos': 0.107, 'compound': 0.34}",0.34,pos
Nidhi Tomar for the country (Teacher),@NidhiTomar21,2023-01-07T13:55:34.000Z,"Nidhi Tomar for the country (Teacher)
@NidhiTomar21
,
Jan 7","Reply to
@ShriguruPawanji
 and
@pushkardhami
It is absolutely not fair to ignore nature for development #Joshimath
1
77",,,,1,[],https://twitter.com/NidhiTomar21/status/1611723218431410176,PERSON,female,"{'neg': 0.116, 'neu': 0.775, 'pos': 0.109, 'compound': -0.0336}",-0.0336,neg
