,Unnamed: 0,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
10,10,Simran Sharma,@sharmaji_writes,2023-01-05T07:06:31.000Z,"Simran Sharma
@Sharmaji_Verits
,
5 Jan","There is no need of paying heed to the #Haldwani mess, the more you talk about the more the narrative gets flamed! Instead, tweet regarding #joshimathsinking #Joshimath
1
204",,,,1,[],https://twitter.com/sharmaji_writes/status/1610895503759388677
11,11,Gaon Connection English,@GaonConnectionE,2023-01-05T08:51:30.000Z,"Gaon Connection English
@GaonConnectionE
,
Jan 5","#Uttarakhand: Sinking of land aggravates in #Joshimath; houses on the verge of collapsing, protests erupt

#joshimathsinking
@pushkardhami
 @anoopnautiyal1
@megha_prakash
 @atulsati1
www.gaonconnection.com
Uttarakhand: Sinking of land aggravates in Joshimath; houses on the verge of collapsing, protests erupt
Uttarakhand's Joshimath has been in news for its sinking land which is posing a threat to the local residents. The collective anxieties of the residents peaked yesterday after fresh cracks...
1
7
15
2,641",,1.0,7.0,15,['https://pbs.twimg.com/card_img/1616002424870940673/ZLdKG1xM?format=jpg&name=small'],https://twitter.com/GaonConnectionE/status/1610921921553784833
12,12,Nationalist,@Rowdy_Sanghi,2023-01-05T15:04:57.000Z,"Nationalist
@Roday_Sanghi
,
5 Jan","#joshimathsinking and now
#earthquake
God save #Joshimath
238",🙏,,,,[],https://twitter.com/Rowdy_Sanghi/status/1611015903923277825
13,13,First India,@thefirstindia,2023-01-05T05:11:59.000Z,"First India
@thefirstindia
,
Jan 5","Uttarakhand: CM Dhami to visit sinking Joshimath, promises necessary action

https://instagram.com/p/CnBXJQtv-T3/

#Uttarakhand #Joshimath #Landslides #JoshimathSinking #UttarakhandLandslide #Landslide #India #News #NewsUpdate #NewsAlert #BreakingNews #TheFirstIndia
1
359",,,,1,"['https://pbs.twimg.com/media/FlryrzTakAExD4m?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FlrysUsacAMhTHK?format=png&name=360x360', 'https://pbs.twimg.com/media/FlrysnNaYAArWTp?format=png&name=360x360']",https://twitter.com/thefirstindia/status/1610866680523259907
14,14,Jumla Buster,@FekuBuster,2023-01-05T07:35:49.000Z,"Jumla Buster
@FekuBuster
,
Jan 5","Dr CP Rajendran adjunct professor at the National Institute of Advanced Studies, Bengaluru.
Among India's foremost experts on seismo-tectonics, earthquakes and tsunami geology.

But Jumla Sarkar doesn't listen to educated people.

#JoshimathSinking
newsclick.in
The Char Dham Road Project is a Freeway to Disaster: CP Rajendran | newsclick
Joshimath is a serious warning signal. Any realistic development strategy should balance infra development, acceptable levels of risk, and carrying capacity of the terrain, says the noted expert on...
1
196",,,1.0,,['https://pbs.twimg.com/card_img/1615970619052507136/-QzDw0nl?format=jpg&name=small'],https://twitter.com/FekuBuster/status/1610902878142578688
15,15,ABP LIVE,@abplive,2023-01-05T11:40:34.000Z,"ABP LIVE
@abplive
,
Jan 5","#Uttarakhand: An Alarm Was Raised 50 Years Ago Over #Joshimath. Know Everything About The Sinking Hill Town

 #joshimathsinking #joshimathIsSinking
news.abplive.com
Uttarakhand: An Alarm Was Raised 50 Years Ago Over Joshimath. Know Everything About The Sinking...
People descended on the streets today shouting slogans against an 'idle administration' and staged a chakka jam while the business establishments remained closed.
1
915",,,1.0,,['https://pbs.twimg.com/card_img/1616136878088146946/UT7bSjv7?format=jpg&name=small'],https://twitter.com/abplive/status/1610964469265600512
16,16,Zee News English,@ZeeNewsEnglish,2023-01-05T18:22:08.000Z,"zee news english
@zeenevsenglish
,
5 Jan","Uttarakhand's #Joshimath 'sinking': Construction activities banned amid protests; 50 families evacuated so far

#Uttarakhand #joshimathsinking
zeenews.india.com
Uttarakhand's Joshimath 'sinking': Construction activities banned amid protests; 50 families...
So far, 561 houses in different areas of the town have developed cracks, including 153 in Ravigram, 127 in Gandhinagar, 71 in Manoharbagh, 52 in Singhdhar, 50 in Parsari, 29 in Upper Bazar, 27 in...
4
11
2,927",,,4.0,11,['https://pbs.twimg.com/card_img/1616173124822646787/PVFmFf3N?format=jpg&name=small'],https://twitter.com/ZeeNewsEnglish/status/1611065525949566977
17,17,India TV,@indiatvnews,2023-01-05T06:37:37.000Z,"Indian TV
@indiatvnews
,
Jan 5","#joshimathsinking! #Uttarakhand residents hold torchlight protest after several houses develop cracks

#Joshimath #PushkarSinghDhami
indiatvnews.com
Joshimath sinking! Uttarakhand residents hold torchlight protest after several houses develop cracks
Joshimath sinking: 'Cracks are also increasing on all the main roads of Sunil Ward due to which people are facing a lot of difficulty in walking,' said Shalendar Panwar.
2
3
1,058",,,2.0,3,['https://pbs.twimg.com/card_img/1616003090884489217/zqL01uOV?format=jpg&name=small'],https://twitter.com/indiatvnews/status/1610888230383276032
18,18,SANDEEP SINGH RAWAT,@iamsandeeprwt,2023-01-05T13:46:15.000Z,"SANDEEP SINGH RAWAT
@iamsandeeprwt
,
Jan 5","Is this the path of development

Voice of the Himalayan Region

#savejoshimath #joshimathsinking
#savejoshimath #joshimath
1
11
15
2,647",,1.0,11.0,15,['https://pbs.twimg.com/ext_tw_video_thumb/1610996025740918785/pu/img/ciRa9LYMgdsE_pGr.jpg'],https://twitter.com/iamsandeeprwt/status/1610996100248502275
19,19,Anamika gaur,@ByAnamika,2023-01-05T12:36:24.000Z,"Anamika Gaur
@Byanamika
,
5 Jan","In Joshimath, cracks are appearing not only in the houses but also in the ancient Narsingh Dev temple complex, there are some cracks in the stairs and ground of the temple complex and in some places the tiles have sunk down.
The roads of Joshimath have also started sinking.

#save joshimath
#joshimath
#joshimathsinking
1
9
20
2,188",,1.0,9.0,20,"['https://pbs.twimg.com/media/FltYZkSaMAUrak1?format=jpg&name=small', 'https://pbs.twimg.com/media/FltYap5agAIn1zs?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FltYbK8aAAUu1F-?format=jpg&name=360x360']",https://twitter.com/ByAnamika/status/1610978519416475651
20,20,Abhishek Bhatt,@officialabrk,2023-01-05T14:04:14.000Z,"Abhishek Bhatt
@officelabark
,
5 Jan","joshimath must be saved
hill you have to come forward

#savejoshimath #Save #joshimath #uttarakhand #uttarakhandi #pahadi #pahad #badrinath #Joshimathsinking #SaveJoshimath
#savehimalayas #haldwani
The following media contains potentially sensitive content. Change settings
view
1
1
189",🙏 🔥,,1.0,1,[],https://twitter.com/officialabrk/status/1611000623285035010
21,21,Zee Uttar Pradesh Uttarakhand,@ZEEUPUK,2023-01-05T09:11:27.000Z,"Zee Uttar Pradesh Uttarakhand
@ZEEUPUK
,
Jan 5","#Uttarakhand: Frequent incidents of landslides in Joshimath, cracks in the walls of houses

#joshimath #joshimathsinking

Must Watch:
6:40
259 views
2
8
701",👇 👇,,2.0,8,[],https://twitter.com/ZEEUPUK/status/1610926941510701056
22,22,Moneycontrol Hindi,@MoneycontrolH,2023-01-05T14:23:58.000Z,"moneycontrol hindi
@MoneycontrolH
,
Jan 5","Landslide in #Joshimath of Chamoli district of #Uttarakhand has now taken a formidable form. In fact, on Monday night suddenly cracks started appearing in the houses due to which panic spread in the entire city. Due to the sinking of the ground at many places, water started coming out. See these horrifying pictures!!

#landslide #joshimathsinking #viral
3
17
1,441",,,3.0,17,['https://pbs.twimg.com/ext_tw_video_thumb/1611004965010702336/pu/img/KqxfpdZWpNxNzGFp.jpg'],https://twitter.com/MoneycontrolH/status/1611005590272356352
23,23,Sudarshan Jha,@0001sudarshan,2023-01-05T09:27:22.000Z,"Sudarshan Jaha
@0001sudarshan
,
5 Jan","Now the train of development will also run. The people there have given the government five more years.
The people living there will have to look after themselves.
Those who removed poverty from the country became rich, similarly this is a mirror of development.
#Joshimath #Uttarakhand #joshimathsinking
LP Pants
@pantlp
,
Jan 5
Tehri drowned. Now Joshimath of Uttarakhand is paying the price for the wrong decisions of development. I have returned from Joshimath only a few days ago. The screaming nights of the crumbling city tells how dangerous is the cunning silence of politics. The capital is Dehradun, but there is no one to listen to the rumblings of the creaking city.
318",,,,,"['https://pbs.twimg.com/media/FlstJcjaUAoTvF4?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1532011067085189120/cZRpIuBq_mini.jpg']",https://twitter.com/0001sudarshan/status/1610930949528883202
24,24,Jumla Buster,@FekuBuster,2023-01-05T07:59:40.000Z,"Jumla Buster
@FekuBuster
,
Jan 5","What was not done in 8000 years, Modi ji did it in 8 years.

Everywhere Shiva

#JoshimathSinking
timesnownews.com
Joshimath is sinking: This is what is happening under the ground of this Himalayan town
The Himalayan town of Joshimath is sinking and its residents have been sleeping outdoors in the freezing cold in fear of an imminent collapse of their houses – a number of which have developed huge,...
5
349",,,,5,['https://pbs.twimg.com/card_img/1615966152299012097/pQ-07658?format=jpg&name=small'],https://twitter.com/FekuBuster/status/1610908880401301505
25,25,pooja yadav,@anchorpooja,2023-01-05T20:02:27.000Z,"Pooja Yadav
@anchorpuja
,
6 Jan","Cracks in 561 houses in more than 9 areas
Is there going to be a big trouble??
@OfficeofDhami
 
@#joshimath #joshimathsinking
1
1
14
620",,1.0,1.0,14,[],https://twitter.com/anchorpooja/status/1611090774518824961
26,26,psysachin,@psysachin,2023-01-05T09:21:29.000Z,"psysachin
@psysachin
,
Jan 5","Badrinath's gateway Joshimath in trouble | Ground Report https://youtu.be/SAcbORd0hgo via
@YouTube
 

#independentmedia
@hridayeshjoshi
 @nlhindi
 @BeechBazar
 @newslaundry
 
#joshimathsinking #Uttarakhand #india
@BJP4India
 @aajtak
 @CNNnews18
 @TimesNow
 @indiatvnews
 @ZeeNews
 #GodiMedia #BJP
youtube.com
Badrinath's gateway Joshimath in trouble | Ground report
Joshimath of #uttarakhand is currently in a serious crisis and this important hill town is sinking. Situated at an altitude of about 6,000 feet above sea level, Joshimath is the state's ...
3
7
1,794",,,3.0,7,['https://pbs.twimg.com/card_img/1615715188044435456/ma5O_Ld1?format=jpg&name=240x240'],https://twitter.com/psysachin/status/1610929468306227201
27,27,Ritu Bhandari,@ritu3779,2023-01-05T10:09:53.000Z,"Ritu Bhandari
@season:3779
,
5 Jan","Uttarakhand: 561 houses have developed cracks in Joshimath and water is leaking from underground in JP Colony, Marwari.
#Uttrakhand #joshimathsinking
3
70",,,,3,[],https://twitter.com/ritu3779/status/1610941648351137799
28,28,ETVBharat Uttarakhand,@ETVBharatUK,2023-01-05T17:25:43.000Z,"Netvabharat Uttarakhand
@etbhartuk
,
5 Jan","#joshimathsinking ... So in 1976 danger was predicted on #Joshimath, Main Central Thrust is the big reason! #Joshimath #JoshimathIsSinking #savejoshimath #Uttarakhand #Uttarakhand
etvbharat.com
So in 1976, danger was predicted on Joshimath, Main Central Thrust is the main reason
These days, a cloud of danger is hovering over the city of Joshimath, due to which the tension of the local government and the administration has increased. But this threat to Joshimath was predicted in the year 1976 itself. In-spite of this...
2
2
214",,,2.0,2,['https://pbs.twimg.com/card_img/1616149730311929884/EF4j79Ia?format=jpg&name=small'],https://twitter.com/ETVBharatUK/status/1611051327634960384
29,29,PublicTV,@publictvnews,2023-01-05T10:26:33.000Z,"Public TV
@publictvnews
,
Jan 5","Over 500 houses cracked in Uttarakhands-joshimath-people fear-city-will-sink/…

#Joshimath #JoshimathSinking #Landslide #Uttarakhand
publictv.in
More than 500 houses cracked in Joshimath - people in fear of city sinking
Dehradun: उत्तराखांडद (Uttarakhand) जोशिम्यठमौल्डी (Joshimath) 561 houses have been cracked in recent days. Cracks have also appeared on some roads. Joshimath Sinking...
1
13
1,294",,,1.0,13,[],https://twitter.com/publictvnews/status/1610945843078762497
30,30,aaspadoos,@aaspadoos,2023-01-05T13:56:24.000Z,"aaspadoos
@aaspadoos
,
Jan 5","Because of Joshimath landslide, various construction project under NTPC Vishnugad Project ordered to stop.
Order to stop the work of NTPC's Vishnugad Hydroelectric Project. https://aaspadoos.com/disaster/joshimath/…

#Joshimath #Uttarakhand #LANDSLIDE #joshimathsinking
aaspadoos.com
Order to stop the work of NTPC's Vishnugad Hydroelectric Project. - AasPadoos - The neighborhood
Order to stop the work of NTPC's Vishnugad Hydroelectric Project.
1
81",,,1.0,,[],https://twitter.com/aaspadoos/status/1610998651391729670
31,31,ZEE Odisha News,@ZeeOdisha,2023-01-05T12:18:35.000Z,"ZEE Odisha News
@ZeeOdisha
,
Jan 5","Dangerous fire is seen in hotels, houses, roads, why is Joshimath falling in the ground?

#Joshimath #joshimathsinking #Uttrakhand #trendingviral
zeenews.india.com
Uttarakhand Joshimath Sinking: A dangerous explosion is seen in hotels, houses, roads, why the land is falling...
Dangerous explosions have started appearing in hotels, houses and roads in Joshimath, Uttarakhand. This news is now making headlines in the media. Due to land subsidence in Joshimath area, there is water in many places.
1
315",,,,1,[],https://twitter.com/ZeeOdisha/status/1610974036720484354
32,32,Jumla Buster,@FekuBuster,2023-01-05T09:35:22.000Z,"Jumla Buster
@FekuBuster
,
Jan 5","#JoshimathSinking
theprint.in
Modi govt wants to push ahead with Char Dham bypass. Why SC-appointed panel's concerned
The Highways ministry approached the panel twice this year seeking approval. It refused permission both times, and has told govt that consent of Uttarkhand forest dept is crucial.
1
99",,,1.0,,['https://pbs.twimg.com/card_img/1616067112912519169/dJUDkpyu?format=jpg&name=small'],https://twitter.com/FekuBuster/status/1610932960097718273
33,33,India TV Hindi,@IndiaTVHindi,2023-01-05T05:02:12.000Z,"India TV Hindi
@IndiaTVHindi
,
Jan 5","The sound of evil.. Big trouble in Joshimath

How did the cracks in the houses come? How did the land sink?

#Uttarakhand #JoshimathSinking #CMPushkarSinghDhami
Indian TV
@indiatvnews
#Indiatvlive
3
140",,,,3,"['https://pbs.twimg.com/card_img/1616363107953303552/BEGZGeVq?format=jpg&name=orig', 'https://pbs.twimg.com/profile_images/1494521439881285634/RDPPwemz_mini.png']",https://twitter.com/IndiaTVHindi/status/1610864218781405186
34,34,India TV Hindi,@IndiaTVHindi,2023-01-05T05:02:12.000Z,"India TV Hindi
@IndiaTVHindi
,
Jan 5","The sound of evil.. Big trouble in Joshimath

How did the cracks in the houses come? How did the land sink?

#Uttarakhand #JoshimathSinking #CMPushkarSinghDhami
5:08
480 viewers
Indian TV
@indiatvnews
#Indiatvlive
3
140",,,,3,"['https://pbs.twimg.com/card_img/1616363107953303552/BEGZGeVq?format=jpg&name=orig', 'https://pbs.twimg.com/profile_images/1494521439881285634/RDPPwemz_mini.png']",https://twitter.com/IndiaTVHindi/status/1610864218781405186
35,35,Naresh Panwar,@doohights,2023-01-06T12:09:59.000Z,"Naresh Panwar
@duhites
,
6 Jan","#joshimathsinking why this is happening? What is the solution now?
28",,,,,[],https://twitter.com/doohights/status/1611334260236947457
36,36,Batori 24,@Batori24news,2023-01-06T13:10:04.000Z,"Batori 24
@Batori24news
,
Jan 6","Cracks in houses, families relocated: Severe landslides continue to cause concern in #Joshimath, #Uttarakhand
 #joshimath #joshimathdiaries #uttarakhand #landslide #uttarakhandtourism #joshimathsinking #JoshimathIsSinking
bathori24.com
Joshimath Landslide: Cracks in houses, families relocated, NDRF team deployed
Following land subsidence in Joshimath, the Garhwal administration has instructed to immediately deploy a team of NDRF in the town.
1
92",,,,1,['https://pbs.twimg.com/card_img/1614134770400919560/hUXa74X9?format=jpg&name=small'],https://twitter.com/Batori24news/status/1611349382485643269
37,37,RW • Rishikesh Writings,@RwRishikesh,2023-01-06T16:22:36.000Z,"RW Rishikesh Writings
@RwRishikesh
,
Jan 6","joshimath update
 1- A temporary rehabilitation center will be built at a safe place in Joshimath
 2-sector and zonal bar plan will be made
 3- The danger zone will be evacuated immediately.
 4-Disaster control room will be activated
 #joshimathsinking
 #SaveJoshimath
55",,,,,[],https://twitter.com/RwRishikesh/status/1611397834196275200
38,38,Neeraj Rawat,@NeerajR61712562,2023-01-06T15:52:29.000Z,"Neeraj Rawat
@NeerajR61712562
,
Jan 6","They are protesting or alarming the government since so long about their conditions. But as usual #Uttarakhand govt is so weak always ignored such havoc condition. We will never forget just because of politics innocent PPL of uttarakhand suffer
#joshimath #joshimathsinking
79",,,,,[],https://twitter.com/NeerajR61712562/status/1611390255944564736
39,39,Rajneesh Agrawal,@rajneeshagraw13,2023-01-06T05:00:17.000Z,"Rajneesh Agarwal
@rajneeshagraw13
,
Jan 6","https://youtu.be/JalQ5xckLUA
#joshimathsinking Watch debate on
@1ALOKJOSHI
 With
@hridayeshjoshi
 N #Atulsati Political activist #Navinjuyal zoological scientist
must watch
youtube.com
Joshimath, gateway to Badrinath, Hemkunt sahib, Valley of flowers is...
Joshimath can be called the gate of Devbhoomi. But now the city itself is in danger. Water is seeping from under the houses, cracks are appearing in the houses and the city is sinking.
1
22",,,,1,['https://pbs.twimg.com/card_img/1613765861483118593/GFTwl0ZM?format=jpg&name=240x240'],https://twitter.com/rajneeshagraw13/status/1611226123379118080
40,40,Down To Earth,@down2earthindia,2023-01-06T17:17:28.000Z,"down to earth
@down2earthindia
,
Jan 6","The historic town of Joshimath in Uttarakhand will be gone if an under-construction NTPC project near it is not shelved, a geologist warned at a webinar January 6, 2023 #JoshimathIsSinking #Joshimath #joshimathsinking #JoshimathLandslide
@rajusajwan
www.downtoearth.org.in
Joshimath won't be saved unless NTPC's project is shelved: Expert's dire warning
Big projects should never have been sanctioned in and around Joshimath without conducting proper studies first, say experts
1
6
16
2,172",,1.0,6.0,16,['https://pbs.twimg.com/card_img/1613949348341231616/_m3FVv-S?format=jpg&name=small'],https://twitter.com/down2earthindia/status/1611411642956546048
41,41,CNBC-TV18,@CNBCTV18News,2023-01-06T05:47:12.000Z,"CNBC-TV18
@CNBCTV18News
,
Jan 6","#Joshimath in Uttarakhand's Chamoli district has been facing land subsidence, resulting in cracks in homes and other structures, making it risky for residents to live there.

Why is the land in #Joshimathsinking?
@ShlokaBadkar
 findout.
cnbctv18.com
Homestay owners in Joshimath, surrounding areas shut shop, stare at uncertainty as land 'sinks'
Joshimath also falls on the way to Badrinath, Auli and treks such as the Valley of Flowers and Hemkund Sahib. The journey from Delhi/Rishikesh to these destinations is long and so travelers usually...
2
3
2,010",,,2.0,3,['https://pbs.twimg.com/card_img/1616361728224407553/PRv-FOK7?format=jpg&name=small'],https://twitter.com/CNBCTV18News/status/1611237928151449602
42,42,CSEINDIA,@CSEINDIA,2023-01-06T08:39:58.000Z,"CSINDIA
@CSEINDIA
,
Jan 6","#JoshimathSinking | Cracks have developed in almost 600 houses in Joshimath. Probe NTPC project, experts tell DTE
@rajusajwan
 

@hindidown2earth
 @down2earthindia
 @bsrivas
 @richiemaha
www.downtoearth.org.in
Sinking town: Probe NTPC project, say experts as subsidence creates panic in Joshimath
Uttarakhand government to prepare prefabricated buildings to shift people whose houses have cracked
1
3
506",,,1.0,3,['https://pbs.twimg.com/card_img/1616107032456892417/YokJ1pFf?format=jpg&name=small'],https://twitter.com/CSEINDIA/status/1611281409746022402
43,43,ABP LIVE,@abplive,2023-01-06T02:46:24.000Z,"ABP LIVE
@abplive
,
Jan 6","#Joshimath Subsidence: As per an official bulletin, cracks were observed in a total of 561 buildings. The residents believe that the ""NTPC projects have led to its gradual sinking"".

#Uttarakhand #joshimathsinking
news.abplive.com
Joshimath Land Sinking: Uttarakhand CM To Chair Meeting Today, Shelter Homes Arranged For Affecte...
In view of the land subsidence in Joshimath, the affected areas are being surveyed by a team of experts including Garhwal Commissioner Sushil Kumar and Disaster Management Secretary Ranjit Sinha.
1
4
1,068",,,1.0,4,[],https://twitter.com/abplive/status/1611192429880938501
44,44,Down To Earth,@down2earthindia,2023-01-06T13:46:56.000Z,"down to earth
@down2earthindia
,
Jan 6","The unfolding disaster in Uttarakhand's historic town of Joshimath shows why the section of the Himalayas in this state are extremely fragile #JoshimathIsSinking #Joshimath #joshimathsinking
www.downtoearth.org.in
Joshimath's tragedy again shows us how fragile Uttarakhand's Himalayas are
Climate change, glacial melt, sedimentation and human activity are a toxic brew threatening the very existence of Uttarakhand.
4
12
1,847",,,4.0,12,['https://pbs.twimg.com/card_img/1613900544657207296/zGFta31d?format=jpg&name=small'],https://twitter.com/down2earthindia/status/1611358657605955587
