,UserName,Timestamp,Embedded_text,scores,sentiment_score,overall_sentiment
11,@ItsPGauravUK,2023-01-03T17:34:40.000Z,"#SaveJoshimath #joshimath #Uttrakhand
Ramesh Bhatt
@Rameshbhimtal
,
Jan 3
A huge tragedy is knocking in Joshimath. If big steps are not taken soon, there can be a big loss.@pushkardhami
39","{'neg': 0.143, 'neu': 0.782, 'pos': 0.075, 'compound': -0.4767}",-0.4767,neg
12,@Vd_sim_,2023-01-03T15:32:19.000Z,"#joshimath
#joshimath #HaldwaniEncroachment
TJendra
@TeJeNdRa_AlMoDi
,
Jan 3
Brother, who wrote big threads for Haldwani, why are you forgetting the hills of Joshimath, if not a thread for them, then at least become the voice of their pain and sorrow, for months they have been demanding to heal the cracks and wounds of their sorrow and pain, Those asking for votes are also sitting blind and deaf.
#joshimath twitter.com/thehill_news/s…
112","{'neg': 0.228, 'neu': 0.772, 'pos': 0.0, 'compound': -0.9517}",-0.9517,neg
13,@MSMscarecrow,2023-01-03T09:56:24.000Z,"Only vote bank is #Hindus, only #BJP.
#joshimath
The Times Of India
@timesofindia
,
Jan 3
Joshimath - the sinking hill town of Uttarakhand

https://timesofindia.indiatimes.com/city/dehradun/joshimath-the-sinking-hill-town-of-uttarakhand/photostory/96703797.cms…
1
63","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
14,@ukkhabri,2023-01-03T16:48:09.000Z,"The foundation of Joshimath is sinking. More than 500 houses have developed cracks. People are trying to maintain their homes by supporting them with bamboo poles -
@atulsati1
#Joshimath
uttarakhandkhabri.com
Will the existence of Joshimath end? Troubled by frequent landslides, people demanded rehabilitation -...
Joshimath News: Due to the landslide happening in Joshimath area of ​​Uttarakhand, all-round danger has arisen for the people. Cracks have appeared in houses and fields.
1
40","{'neg': 0.108, 'neu': 0.855, 'pos': 0.038, 'compound': -0.6597}",-0.6597,neg
15,@janjwar_com,2023-01-03T09:20:53.000Z,"After huge cracks in houses and lands, now the poles of high tension wires in Joshimath are skewed, one step more danger
The following media contains potentially sensitive content. Change settings
view
75","{'neg': 0.157, 'neu': 0.783, 'pos': 0.06, 'compound': -0.5709}",-0.5709,neg
16,@KUttarakhand,2023-01-03T13:11:47.000Z,"Landslide, slanted electric poles and trees in new area of ​​Joshimath https://khabaruttarakhand.com/landslide-slanted-electric-poles-and-trees-in-new-area-of-joshimath/… via
@kuttarakhand
 #joshimath
khabaruttarakhand.com
Landslide, bent electric poles and trees in new area in Joshimath | Kh.
The situation in Joshimath has started getting worse due to landslides. Many new houses have been threatened by landslides. Along with this, the poles for trees and high tension wires have also become skewed. Landslide is continuously increasing in Joshimath
75","{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.8126}",-0.8126,neg
17,@Mishra__Prateek,2023-01-03T09:10:51.000Z,"CM Pushkar Singh himself goes to Dhami to know about the well being of Rishabh Pant. But delay is being shown in listening to the demand of rehabilitation of the residents of Joshimath..

If there is an earthquake and loss of life and property, then who will be responsible for it?
@pushkardhami
 

#Uttarakhand #Joshimath
1
64","{'neg': 0.123, 'neu': 0.805, 'pos': 0.072, 'compound': -0.4854}",-0.4854,neg
18,@aaspadoos,2023-01-03T14:22:37.000Z,"Affected people of Joshimath are in agitation mood for rehabilitation. https://aaspadoos.com/disaster/joshimath-disaster/…

#joshimath #mudslide
aaspadoos.com
Affected people of Joshimath are in agitation mood for rehabilitation. - AasPadoos - The neighborhood
Affected people of Joshimath are in agitation mood for rehabilitation
55","{'neg': 0.252, 'neu': 0.748, 'pos': 0.0, 'compound': -0.7783}",-0.7783,neg
19,@AU_DehradunNews,2023-01-03T06:05:43.000Z,"Due to the landslide happening in Joshimath area of ​​Uttarakhand, all-round danger has arisen for the people. After the cracks in the houses and fields, now the poles of the high tension line have also become skewed.
https://amarujala.com/photo-gallery/dehradun/uttarakhand-joshimath-news-ht-line-pillars-skewed-due-to-landslide-danger-over-houses…
#Joshimath #Uttarakhand #HTLine
@pushkardhami
amarujala.com
Joshimath: All-round threat to people due to landslides... After cracks in houses and fields, now HT line...
Due to the landslide happening in Joshimath area of ​​Uttarakhand, all-round danger has arisen for the people. Cracks in houses and fields
1
126","{'neg': 0.137, 'neu': 0.863, 'pos': 0.0, 'compound': -0.91}",-0.91,neg
20,@Mamgain_ji_1997,2023-01-04T14:27:16.000Z,"Cracks in hundreds of houses. Due to fear, people came out of their homes in the chilling cold. The government is moving forward on the issue of landslides with the speed of a turtle.
But On other side, big media are trying to save the illegal occupants in #Haldwani.
#joshimath
158","{'neg': 0.138, 'neu': 0.788, 'pos': 0.074, 'compound': -0.4118}",-0.4118,neg
21,@SonaliVaid,2023-01-04T17:47:03.000Z,"Anger in #Joshimath Uttarakhand

Sinking land, cracks in houses
Over 600 houses unsafe (maybe more?)

There are NO natural disasters

""People are spending nights in open, braving bone-chilling cold because homes are not safe to stay""

Evacuation & Rehabilitation needed urgently
atul sati
@atulsati1
,
Jan 4
Our announcement..!

across ..!
1
8
14
2,204","{'neg': 0.218, 'neu': 0.741, 'pos': 0.041, 'compound': -0.8939}",-0.8939,neg
22,@Jyotiradityasah,2023-01-04T11:10:56.000Z,"My hometown Joshimath is in the verge of witnessing a big tragedy. It is gateway to historical places like Badrinath Dham, Valley of Flowers, Hemkunt Sahib and several other famous treks. Why state govt is ignoring this beautiful town?
#Joshimath #Uttarakhand
Neha Chauhan
@nehajoychauhan
,
Jan 4
Uttarakhand's Joshimath is getting ready for a big tragedy. Several buildings and homes now have huge cracks leaking muddy water.
0:27
1,759 views
1
3
9
1,035","{'neg': 0.138, 'neu': 0.719, 'pos': 0.143, 'compound': -0.1469}",-0.1469,neg
23,@the_anubhav_,2023-01-04T16:05:44.000Z,"Joshimath is sinking.
Lord Badrinath's Adobe Is Sinking

#SaveUttarakhand
#Uttarakhand
#joshimath
#India
2
96","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
24,@Rg11channel1,2023-01-04T18:31:59.000Z,"Current situation
#Joshimath #Uttarakhand #india
Jyotiraditya sah
@Jyotiradityasah
,
Jan 4
People of Joshimath trying to raise their voice for their existence, a town which is very historical, sadly being ignored by the state government and every national media.
#Joshimath #Uttarakhand
1
87","{'neg': 0.127, 'neu': 0.873, 'pos': 0.0, 'compound': -0.6573}",-0.6573,neg
25,@tv9gujarati,2023-01-04T03:44:30.000Z,"Landslides in #Joshimath are causing cracks in houses; fear among the locals

#Uttrakhand #TV9News
1
554","{'neg': 0.186, 'neu': 0.814, 'pos': 0.0, 'compound': -0.4939}",-0.4939,neg
26,@vatsalshivendra,2023-01-04T13:30:29.000Z,"Uttarakhand BJP formed a 14-member committee to assess the landslides and damages taking place in Joshimath.

#joshimath
102","{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.4404}",-0.4404,neg
27,@RwRishikesh,2023-01-04T12:52:07.000Z,"joshimath is sinking
Another historic town succumbs to another project
Regrettably, we do not even have a song
#Uttarakhand #Joshimath #Rishikeshwritings
110","{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.4588}",-0.4588,neg
28,@tiwariravish,2023-01-04T16:15:40.000Z,"#landslide in #Joshimath #ntpc ignorant please intervene
@pushkardhami
 @PMOIndia
 @narendramodi
 @AmitShah
 , Please protect our religious heritage. #badrinathdham
1
1
173","{'neg': 0.09, 'neu': 0.601, 'pos': 0.309, 'compound': 0.6249}",0.6249,pos
29,@ram_bijendra,2023-01-04T07:24:20.000Z,"Save #Joshimath an ancient town in chamoli district #uttarkhand Is under massive geographical changes like landslide, earthquake. Govt. should support people and migrate them to safer place in this chilling cold.
#joshimath
195","{'neg': 0.028, 'neu': 0.694, 'pos': 0.278, 'compound': 0.8772}",0.8772,pos
30,@raghav_bijalwan,2023-01-04T10:05:27.000Z,"Situation in #Joshimath really concerning.

Prayers to Sri Narsimha dev ji.
1
1
118","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
31,@Suyogya18,2023-01-04T19:44:43.000Z,"Let's pray that #Joshimath doesn't face what #Kedarnath did back in 2013...

#SaveJoshimath
148","{'neg': 0.0, 'neu': 0.85, 'pos': 0.15, 'compound': 0.3182}",0.3182,pos
32,@ByAnamika,2023-01-04T05:31:53.000Z,"After the cracks in the houses, water leakage has also started, the danger is increasing with time, priority should be to secure 500 families, 6 families have migrated to a safer place, but it is possible for everyone. No, people are still looking towards the government with hope #Joshimath
3
21
41
1,532","{'neg': 0.087, 'neu': 0.783, 'pos': 0.13, 'compound': 0.3506}",0.3506,pos
33,@rohitjuglan,2023-01-04T17:38:21.000Z,"I will write the crumbling walls of Joshimath
You are ignoring the Dhami government
#joshimath
The following media contains potentially sensitive content. Change settings
view
5
23
303
9,571","{'neg': 0.094, 'neu': 0.906, 'pos': 0.0, 'compound': -0.4019}",-0.4019,neg
34,@Pavanasoonu,2023-01-04T07:43:32.000Z,"Joshi Math Swamiji in St. Thes.
  #askpanditkatati
#joshimath
5
24
186
5,218","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
35,@imrajni_singh,2023-01-04T08:08:46.000Z,"With increasing cracks in Joshimath, water leakage is also increasing.
#joshimath
3
18
841","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
36,@Himansh256370,2023-01-04T04:25:39.000Z,"Halla for Haldwani, because there are more opportunities for politics than facts. The enthusiasm of the leaders taking advantage of this opportunity is cold for Joshimath, the migration of people continues there.
two minute silence for such politics
@harishrawatcmuk
 @SumitHridayesh
 #Haldwani #Joshimath
@BJP4UK
 @INCDehradun
0:32
3,745 views
1
20
64
7,363","{'neg': 0.0, 'neu': 0.813, 'pos': 0.187, 'compound': 0.8622}",0.8622,pos
37,@UttarakhandTak,2023-01-04T17:28:12.000Z,"Joshimath: The people of Joshimath prepared for a fierce movement, took out a torchlight procession, continuous landslides in the area, falling walls, even big hotels on the verge of collapse

#joshimath
2
29
48
2,325","{'neg': 0.134, 'neu': 0.812, 'pos': 0.053, 'compound': -0.4404}",-0.4404,neg
38,@aruneshpathania,2023-01-04T08:41:50.000Z,"Sir! Joshimath is cracking:
Cracks in hundreds of houses
Due to fear, people came out of their homes in the chilling cold.
The government is moving forward on the issue of landslides with the speed of a turtle.

On the other hand, political parties and big media people are trying their best to save the illegal occupants in Haldwani.
#joshimath
The following media contains potentially sensitive content. Change settings
view
1
15
37
1,531","{'neg': 0.091, 'neu': 0.752, 'pos': 0.157, 'compound': 0.7712}",0.7712,pos
39,@GauravAgrawaal,2023-01-04T11:42:20.000Z,"Joshimath of Uttarakhand is sinking. More than 500 houses have developed cracks. Electric poles have become crooked. A big earthquake can happen at any time. People are forced to leave their homes. CM
@pushkardhami
 Has assured all possible help.

Cautionary tale, #LoudAndClear

#joshimath
4
6
31
991","{'neg': 0.085, 'neu': 0.81, 'pos': 0.105, 'compound': 0.25}",0.25,pos
40,@shivbhatt,2023-01-04T17:32:36.000Z,"#SaveJoshimath #Joshimath #Joshimath
Pyara Uttarakhand
@PyaraUKofficial
,
Jan 4
Big trouble on 16000 people in Joshimath

#joshimath
2
6
323","{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.4019}",-0.4019,neg
41,@AshmitaBadoni,2023-01-04T12:46:59.000Z,"#Joshimath #SaveJoshimath
Meenakshi Kandwal Meenakshi Kandwal
@MinakshiKandwal
,
Jan 2
Joshimath of historical-cultural and border district of Uttarakhand is moaning. This area is very sensitive in terms of earthquake.. where the residents have supported the roofs and walls of the houses with bats and bamboo sticks... What if the earth shakes a bit.
#SaveJoshimath
https://youtube.com/watch?v=6qHaepu8gSc…
1
5
628","{'neg': 0.026, 'neu': 0.932, 'pos': 0.042, 'compound': 0.2263}",0.2263,pos
42,@GoodNewsToday,2023-01-04T08:12:27.000Z,"Administration's rescue operation after cracks in 600 houses in Joshimath

#LunchTime #joshimath #rescue #uttarakhand
@aditi_girotra
 @SHAGUFTADEV
2
7
562","{'neg': 0.0, 'neu': 0.829, 'pos': 0.171, 'compound': 0.5106}",0.5106,pos
43,@saritatiwariuk,2023-01-04T06:33:40.000Z,"Chief Minister in Haldwani case
@pushkardhami
  said, we should trust the court, after that we will take a decision, there should be no politics

He told about Joshimath that he himself will go and take stock with a team.

#haldwani_railway_case_ #Haldwani #Joshimath
4
10
40
2,160","{'neg': 0.047, 'neu': 0.882, 'pos': 0.071, 'compound': 0.2732}",0.2732,pos
44,@AbpGanga,2023-01-04T15:28:17.000Z,"LIVE | #BaatToChubhegi | The land sinking in Joshimath increased the concern

See
@SavalRohit
 LIVE WITH

Watch Live here: https://bit.ly/3kmMoiQ

#Uttarakhand #Landslide #Joshimath
3:46
198 views
1
4
9
618","{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.2732}",0.2732,pos
45,@AbpGanga,2023-01-04T15:28:17.000Z,"LIVE | #BaatToChubhegi | The land sinking in Joshimath increased the concern

See
@SavalRohit
 LIVE WITH

Watch Live here: https://bit.ly/3kmMoiQ

#Uttarakhand #Landslide #Joshimath
3:45
198 views
1
4
9
618","{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.2732}",0.2732,pos
46,@zoo_bear,2023-01-05T16:03:21.000Z,"Protest continues as families in U'khand's Joshimath being evacuated after houses develop cracks. #joshimath
english.varthabharati.in
Protest continues as families in U'khand's Joshimath being evacuated after houses develop cracks
Protests continued in the Himalayan town of Joshimath on Thursday as the government began evacuating families staying in houses at risk after developing cracks.
7
113
449
25.3K","{'neg': 0.136, 'neu': 0.864, 'pos': 0.0, 'compound': -0.7184}",-0.7184,neg
47,@timesofindia,2023-01-05T03:36:03.000Z,"#Uttarakhand | A large number of people took out a torchlight protest in #Joshimath yesterday as several houses developed deep cracks, leaving them in a panicked state. (ANI)
1
18
74
23.8K","{'neg': 0.165, 'neu': 0.792, 'pos': 0.043, 'compound': -0.5719}",-0.5719,neg
48,@Transctimes,2023-01-05T07:53:14.000Z,"#BREAKING SC stays Haldwani demolition, says 50,000 people can't be uprooted overnight

'A solution needs to be worked out keeping in view the people who face eviction from allegedly encroached railway land in #Haldwani'-SC

#Uttarakhand #Joshimath #HaldwaniEncroachment
5
14
1,690","{'neg': 0.071, 'neu': 0.875, 'pos': 0.054, 'compound': -0.1779}",-0.1779,neg
49,@Anukriti_Gusain,2023-01-05T13:17:10.000Z,"At such a time, the government should start rescue operations on a war footing. Today the lives of thousands of people are in danger on this land of holy Badrinath ji. #savejoshimath #joshimathsinking #anukritigusain #uttarakhand #savejoshimath #joshimath
1
23
1,774","{'neg': 0.164, 'neu': 0.762, 'pos': 0.074, 'compound': -0.6124}",-0.6124,neg
50,@romolabutalia,2023-01-05T04:23:24.000Z,"Joshimath: Where are those who need 4 lane highways and helicopters to reach the sacred #Himalaya? Where are those who seek darshan of Sri Badrinathji first day first show? Why are they not at #Joshimath where Sri Badrinathji resides in winter with the people of Uttarakhand?
Shivani Azad
@shivaniazadTOI
,
Jan 5
Why gateway to Badrinath is sinking under its own weight - https://timesofindia.indiatimes.com/city/dehradun/why-gateway-to-badrinath-is-sinking-under-its-own-weight/articleshow/96751040.cms …
@TOIPlus @TOIIndiaNews #joshimath
Show this thread
2
19
30
4,587","{'neg': 0.0, 'neu': 0.976, 'pos': 0.024, 'compound': 0.163}",0.163,pos
51,@bvpat2501,2023-01-05T16:46:20.000Z,"What is happening in #Joshimath
13
18
103
10.8K","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
52,@Sunny16910644,2023-01-05T14:52:44.000Z,"Those people who were celebrating pain of Uttrakhand #Haldwani ppl, are now worried about #Joshimath Whereas all are humans in pain. Why so much hypocrisy. That's why God not helping humans.
#HaldwaniProtest #SaveJoshimath #disaster #HaldwaniEncroachment
From
Devbhoomi Dialogue
6
36
60
8,982","{'neg': 0.208, 'neu': 0.68, 'pos': 0.113, 'compound': -0.5978}",-0.5978,neg
53,@lmupreti,2023-01-05T12:06:13.000Z,"I think Uttarakhand government is sleeping and may be busy in 2024 election
@pushkardhami
 @Narendra Modi
 #savejoshimath #joshimath
1
23
30
5,381","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
54,@meenakshisharan,2023-01-05T09:56:21.000Z,"Continued land subsidence caused by climate & infrastructural changes has led to major cracks in 570 houses in #Joshimath #Uttarakhand !

Residents've been demanding rehabilitation for over a year!

Challenging mother nature for blind road development?!

#joshimathsinking
Meenakshi Sharan
@meenakshisharan
,
11 Dec 2022
#GlobalWarming who's responsible
I write @firstpost
US released over 509Gt CO2 since 1850 - 20% of total
China 11%
Russia 7%
Brazil 5%
Indonesia, Germany 4%
UK 3%
18
1
23
24
5,556","{'neg': 0.073, 'neu': 0.876, 'pos': 0.052, 'compound': -0.3769}",-0.3769,neg
55,@MirrorNow,2023-01-05T10:14:37.000Z,"Uttarakhand's Joshimath is sinking. Cracks have developed on almost 561 houses and on some roads as well. Almost 3000 people have been affected by this. Residents hit the streets with torches to protest against the cracks. watch

#joshimath #uttarakhand #joshimathsinking
7
10
2,192","{'neg': 0.081, 'neu': 0.872, 'pos': 0.047, 'compound': -0.128}",-0.128,neg
56,@ndtv,2023-01-05T14:28:57.000Z,"Watch: Congress spokesperson Mahima Singh on land subsidence and damages taking place in Uttarakhand's #Joshimath
2:58
1,481 views
4
12
5,114","{'neg': 0.132, 'neu': 0.868, 'pos': 0.0, 'compound': -0.4404}",-0.4404,neg
57,@MYPanwar13,2023-01-05T19:03:55.000Z,"Two places of Uttarakhand.
1. Joshimath 2. Haldwani

1. People of Joshimath are losing their houses due to land subsidence bcz of various projects.

2. Illegal land encroachers have grabbed land in Haldwani for generations.

Unfortunate that people aren't concerned 4 #joshimath!
15
25
2,699","{'neg': 0.188, 'neu': 0.812, 'pos': 0.0, 'compound': -0.8588}",-0.8588,neg
58,@ani_digital,2023-01-05T14:21:59.000Z,"Joshimath subsidence: Uttarakhand CM to hold high-level meet on Friday

read
@ANI
 Story | https://aninews.in/news/national/general-news/joshimath-subsidence-uttarakhand-cm-to-hold-high-level-meet-on-friday20230105194755/…

#Joshimath #Uttarakhand #PushkarSinghDhami
1
10
123
19.5K","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
59,@dna,2023-01-05T18:04:10.000Z,"DNA | Will Joshimath collapse?

#joshimath

For more videos, click here https://dnaindia.com/videos
2
12
1,648","{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.4939}",-0.4939,neg
60,@GaonConnectionE,2023-01-05T08:51:30.000Z,"#Uttarakhand: Sinking of land aggravates in #Joshimath; houses on the verge of collapsing, protests erupt

#joshimathsinking
@pushkardhami
 @anoopnautiyal1
@megha_prakash
 @atulsati1
www.gaonconnection.com
Uttarakhand: Sinking of land aggravates in Joshimath; houses on the verge of collapsing, protests erupt
Uttarakhand's Joshimath has been in news for its sinking land which is posing a threat to the local residents. The collective anxieties of the residents peaked yesterday after fresh cracks...
1
7
15
2,639","{'neg': 0.24, 'neu': 0.731, 'pos': 0.029, 'compound': -0.9287}",-0.9287,neg
61,@HTSmartcast,2023-01-05T13:20:36.000Z,"#TopNews today

> Two more involved in #Sultanpuri accident, say police

> Uttarakhand: Team of scientists to find reasons for #Joshimath land subsidence, cracks in houses

> #Delhi records season's lowest temperature today

Listen here: https://htsmartcast.com/news-podcasts/ht-daily-news-wrap/delhi-records-seasons-lowest-temperature-today/…
3
7
2,350","{'neg': 0.151, 'neu': 0.849, 'pos': 0.0, 'compound': -0.6908}",-0.6908,neg
62,@CNNnews18,2023-01-05T17:54:58.000Z,"#BreakingNews | #JoshiMath administration orders for 4,000 pre-fabricated homes for the families whose homes have sunk

#Russia: President Vladimir Putin orders temporary ceasefire for Friday and Saturday to mark orthodox Christmas,
@abhishekjha157
 with details

,
@JamwalNews18
,
1
6
2,919","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
63,@chauhanVKgeo,2023-01-05T09:13:11.000Z,"In the rising fear of potential #disaster, part of scientific fraternity should also be blamed for ignoring people oriented #science. They can be spotted in conferences talking about loss of life but keep a distance from such causes. #joshimath
Shivani Azad
@shivaniazadTOI
,
Jan 5
Why gateway to Badrinath is sinking under its own weight - https://timesofindia.indiatimes.com/city/dehradun/why-gateway-to-badrinath-is-sinking-under-its-own-weight/articleshow/96751040.cms …
@TOIPlus @TOIIndiaNews #joshimath
Show this thread
3
13
1,401","{'neg': 0.118, 'neu': 0.882, 'pos': 0.0, 'compound': -0.6858}",-0.6858,neg
64,@CNNnews18,2023-01-05T01:46:58.000Z,"Landslide in Uttarakhand's #Joshimath area creates panic; Cracks appear in houses, seepage reported. Many families evacuated

Nitin Semwal shares more details

#Uttarakhand |
@aayeshavarma
3
6
2,326","{'neg': 0.115, 'neu': 0.734, 'pos': 0.15, 'compound': 0.0}",0.0,pos
65,@No_2Reservation,2023-01-05T23:20:32.000Z,"#Joshimath is in grave danger.

Hill people need immediate relocation.
The Explained Post
@explained_post
,
Jan 6
Why #Joshimath is Sinking?
https://explainedpost.com/why-joshimath-is-sinking-2/…

#Uttarakhand #Joshimath #HaldwaniEncroachment
3
5
170","{'neg': 0.214, 'neu': 0.786, 'pos': 0.0, 'compound': -0.7184}",-0.7184,neg
66,@drvandanashiva,2023-01-05T20:04:42.000Z,"Uncontrolled building of hydro power projects in fragile Himalaya contributed to 2013 Kedarnath disaster & 2021 Rishi Ganga disaster
https://fairobserver.com/region/central_south_asia/uttarakhand-disaster-wake-call/…
https://transcend.org/tms/2021/02/cry-of-the-himalaya-4-decades-of-disasters-4-decades-of-warning/…
Sinking of #Joshimath has led to stopping work on the Tapovan Vishnugarh hydropower project.
The Hindu
@the_hindu
,
Jan 5
With residents of the #Joshimath reporting an increase in landslides and hundreds of houses developing cracks, the district administration has issued orders to stop work on the NTPC Tapovan Vishnugad hydropower project and all other construction activity.
https://trib.al/IeFc3MZ
15
52
5,202","{'neg': 0.157, 'neu': 0.817, 'pos': 0.026, 'compound': -0.8934}",-0.8934,neg
67,@thetribunechd,2023-01-05T06:43:21.000Z,"#Uttarakhand's holy town #Joshimath 'sinking'; cracks develop in over 500 houses; 66 families migrate
tribuneindia.com
Uttarakhand's holy town Joshimath 'sinking'; cracks develop in over 500 houses; 66 families migrate
Cracks have reportedly developed in as many as 561 houses in Joshimath as a result of continued land subsidence in the town, stated the District Disaster Management Department.
3
1
883","{'neg': 0.068, 'neu': 0.932, 'pos': 0.0, 'compound': -0.6249}",-0.6249,neg
