,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL,NER,gender
10,10,10,10,Gaon Connection English,@GaonConnectionE,2022-12-04T06:23:25.000Z,"Gaon Connection English
@GaonConnectionE
,
4 Dec 2022","#10YearsOfGaonConnection | As part of  #10PartSeries, here's the third report from #Uttarakhand. Joshimath has religious & tourist significance but several villages in the area are sinking. Read on to know why.

Report by 
@megha_prakash
 

@moefcc
gaonconnection.com
The Sinking Feeling in Joshimath
Joshimath in Uttarakhand has both religious and tourist significance. But several villages in the area are slowly subsiding, say the local villagers and scientists who have studied the region....
4
5",,,4,5,['https://pbs.twimg.com/card_img/1614582379670130688/Jq7F3W6x?format=jpg&name=small'],https://twitter.com/GaonConnectionE/status/1599288245002829824,LANGUAGE,
11,11,11,11,Nidhi Jamwal,@JamwalNidhi,2022-12-04T08:23:20.000Z,"nidhi jamwal
@jamwalnidhi
,
4 Dec 2022","""The house may collapse anytime, so we quickly clean, bathe and cook before heading out.""

Villages in 3 wards of Joshimath are 'sinking'. Houses have deep cracks; thousands live in fear. 
@GaonConnection
's 3rd report in its #10PartSeries.
@megha_prakash
gaonconnection.com
The Sinking Feeling in Joshimath
Joshimath in Uttarakhand has both religious and tourist significance. But several villages in the area are slowly subsiding, say the local villagers and scientists who have studied the region....
1
2
22",,1.0,2,22,['https://pbs.twimg.com/card_img/1614582379670130688/Jq7F3W6x?format=jpg&name=small'],https://twitter.com/JamwalNidhi/status/1599318422688792576,,
12,12,12,12,TIMES18,@TIMES18News,2022-12-04T13:44:36.000Z,"Times18
@TIMES18News
,
4 Dec 2022","Joshimath News: Women got special market under Joshimath National Rural Livelihood Mission, will be able to sell their products https://times18.live/joshimath-news-women-got-special-market-under-joshimath-national-rural-livelihood -mission-will-be-able-to-sell-their-products/…",,,,,[],https://twitter.com/TIMES18News/status/1599399270133686273,,
13,13,13,13,dlovesk.com,@dloveskdotcom,2022-12-04T13:47:07.000Z,"www.dlovesk.com
@dloveskdotcom
,
4 Dec 2022
automated","Joshimath News: Women got special market under Joshimath National Rural Livelihood Mission, will be able to sell their products
www.dlovesk.com
Joshimath News: Women got special market under Joshimath National Rural Livelihood Mission, will be able to...",,,,,[],https://twitter.com/dloveskdotcom/status/1599399903507234816,,
14,14,14,14,pravesh bisht,@pravesh27181563,2022-12-06T16:52:36.000Z,"pravesh bisht
@pravesh27181563
,
6 Dec 2022","Habits are not bad, hobbies are a bit high @joshimath
instagram.com
Pravesh Bisht (@praveshbisht12) • Instagram photo",📸,,,,['https://pbs.twimg.com/card_img/1614233328374415360/W-7zdCxe?format=jpg&name=240x240'],https://twitter.com/pravesh27181563/status/1600171359480516610,,
15,15,15,15,himalayashelter,@HimShel,2022-12-06T14:58:51.000Z,"himalaya shelter
@HimShell
,
6 Dec 2022","Kuari Pass is a popular trek near Auli, Joshimath in Uttarakhand. Kuari pass trek is popularly known as ""Lord Curzon's trail"". The British Viceroy, George Curzon, attempted crossing it and remarked about the beauty of the trek. Though the pass is not very…
linkedin.com
Bachan Rana on LinkedIn: Kuari Pass is a popular trek near Auli, Joshimath in Uttarakhand. Kuari…
Kuari Pass is a popular trek near Auli, Joshimath in Uttarakhand. Kuari pass trek is popularly known as ""Lord Curzon's trail"". The British Viceroy, George…",,,,,[],https://twitter.com/HimShel/status/1600142734173655041,,
16,16,16,16,Principal CATC(AAI),@PCATCAAI,2022-12-07T07:03:06.000Z,"Principal CATC(AAI)
@PCATCAAI
,
7 Dec 2022","CATC PRAYAGRAJ is organizing “AAI All India Trekking Expedition in Joshimath area of ​​Chamoli (Uttarakhand)”, from 04 to 13 Dec-22.
Sh Shailenda Pawar , Chairman, Nagar Palika , Joshimath and Block pramukh Sh Harish Parmar flagged off first group on 06 Dec-22.
@AAI_Official
1
20
24",,1.0,20,24,"['https://pbs.twimg.com/media/FjW1_ibVEAAAPUM?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FjW2AZkVUAAL_1p?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FjW2A9yUcAATxin?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FjW2BmcUUAEnT21?format=jpg&name=360x360']",https://twitter.com/PCATCAAI/status/1600385394000162816,PERSON,
17,17,17,17,Kuldeep Singh,@Kuldeep15579383,2022-12-09T08:06:05.000Z,"Kuldeep Singh
@Kuldeep15579383
,
9 Dec 2022","Ans A Joshimath detachment Uttrakhand.
border
@BROindia
,
9 Dec 2022
#KnowYourBRO
Hon'ble Prime Minister Shri Narendra Modi recently stayed in a @BROindia detachment...
Please answer the following questions..
@PMOIndia @DefenceMinIndia @AjaybhattBJP4UK @SpokespersonMoD @PBNS_India @PBNS_Hindi
3",,,,3,"['https://pbs.twimg.com/profile_images/1423215426847207426/kkxDFcx2_mini.jpg', 'https://pbs.twimg.com/media/Fjgfx7fVUAEVzQK?format=jpg&name=small']",https://twitter.com/Kuldeep15579383/status/1601126020173955072,GPE,
18,18,18,18,Kailash Kala,@Kailash39705165,2022-12-09T16:20:12.000Z,"Kailash Kala
@kailash39705165
,
9 Dec 2022","Shg members from joshimath participated during President visit .
1",,,,1,"['https://pbs.twimg.com/media/FjjIf2rWQAE4Do6?format=jpg&name=small', 'https://pbs.twimg.com/media/FjjItTTXgAEhbv-?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FjjIuAIWAAEox7-?format=jpg&name=360x360']",https://twitter.com/Kailash39705165/status/1601250368696233985,,
19,19,19,19,BidhuRam Das.,@BidhuDas20,2022-12-09T04:54:08.000Z,"Bidhu Ram Das.
@BidhuDas20
,
9 Dec 2022","The Answer is A- Joshimath Detachment (Uttarakhand)
border
@BROindia
,
9 Dec 2022
#KnowYourBRO
Hon'ble Prime Minister Shri Narendra Modi recently stayed in a @BROindia detachment...
Please answer the following questions..
@PMOIndia @DefenceMinIndia @AjaybhattBJP4UK @SpokespersonMoD @PBNS_India @PBNS_Hindi
6",,,,6,"['https://pbs.twimg.com/profile_images/1423215426847207426/kkxDFcx2_mini.jpg', 'https://pbs.twimg.com/media/Fjgfx7fVUAEVzQK?format=jpg&name=small']",https://twitter.com/BidhuDas20/status/1601077716086063104,ORG,
20,20,20,20,deepak mokhwall,@mokhwall,2022-12-09T15:10:45.000Z,"deepak mokhwal
@mokhwall
,
9 Dec 2022","People in Joshimath are living in fear due to cracks coming in the houses.
#joshimath #chamoli #Uttarakhand
0:44
14 views",,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1601232669144412161/pu/img/xgn3M_qxTw8yZYNK.jpg'],https://twitter.com/mokhwall/status/1601232893443178496,,
21,21,21,21,deepak mokhwall,@mokhwall,2022-12-09T15:10:45.000Z,"deepak mokhwal
@mokhwall
,
9 Dec 2022","People in Joshimath are living in fear due to cracks coming in the houses.
#joshimath #chamoli #Uttarakhand
0:43
14 views",,,,,[],https://twitter.com/mokhwall/status/1601232893443178496,,
22,22,22,22,Manoj Kumar Baraar,@MBaraar,2022-12-10T16:00:15.000Z,"Manoj Kumar Baraar
@MBaraar
,
10 Dec 2022","#hotsprings #joshimath
0:16
16 views",,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1601607680803893251/pu/img/JtKBRabRwphRQC7E.jpg'],https://twitter.com/MBaraar/status/1601607738056134656,PERSON,male
23,23,23,23,Manoj Kumar Baraar,@MBaraar,2022-12-10T16:00:15.000Z,"Manoj Kumar Baraar
@MBaraar
,
10 Dec 2022","#hotsprings #joshimath
0:15
16 views",,,,,[],https://twitter.com/MBaraar/status/1601607738056134656,PERSON,male
24,24,24,24,ITBP,@ITBP_official,2022-12-11T09:20:17.000Z,"ITBP
@ITBP_official
,
11 Dec 2022","A trekker from Delhi was rescued by M & SI, ITBP, Auli from Gorson Bugyal (11,500 ft) to Field Hospital, Joshimath. #Himveers carried the trekker on a stretcher for 5 kilometres. The trekker was reported to have suffered a leg fracture while trekking with a group.
1
25
178",,1.0,25,178,"['https://pbs.twimg.com/media/Fjr7p_9aEAAJKfZ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Fjr7qAFaEAEoWyt?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Fjr7p__aYAA5nv7?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Fjr7qALagAAAnwh?format=jpg&name=360x360']",https://twitter.com/ITBP_official/status/1601869469416321025,ORG,
25,25,25,25,SuryaCommand_IA,@suryacommand,2022-12-11T15:45:40.000Z,"SuryaCommand_IA
@suryacommand
,
11 Dec 2022","#IndianArmy 
'Our Veterans Our Pride' 
#Veterans Outreach Rally was organised by Ibex Brigade at #Joshimath. Pension & ECHS related grievances were addressed. Veterans and Veernaris were provided information on documentation related issues, SPARSH & ECHS.
@adgpi
 
@DIAV20
2
65
159",,2.0,65,159,['https://pbs.twimg.com/media/FjtT96iagAAIRru?format=jpg&name=small'],https://twitter.com/suryacommand/status/1601966453435305985,,
26,26,26,26,Mrinal Pande,@MrinalPande1,2022-12-11T14:58:34.000Z,"Mrinal Pandey
@mrunalpandi1
,
11 Dec 2022","The Dargah had established connection w the Nath sect in Joshimath in 14thC thru a Pir who went to Joshimath and chose to live in the hills.He appears in Jagar songs that invoke local gods, as Pir of Pirs Saida Maimanda (Syed Mehmood?)born of a Turk mother.
Scroll.in
@scroll_in
,
11 Dec 2022
Inspired by a 13th-century Sufi saint, the anthology Naghmat-us-Sama' by Syed Noorul Hasan has contributed to the persistence of Persian in modern-day music. https://scroll.in/article/1038804/…

By Adhiraj Parthasarathy & Mohammad Dawood
9
26",,,9,26,"['https://pbs.twimg.com/profile_images/1605258806250070016/YGzA42cy_mini.jpg', 'https://pbs.twimg.com/media/Fjs-a_VakAEjGhu?format=jpg&name=small']",https://twitter.com/MrinalPande1/status/1601954603243024385,ORG,
27,27,27,27,Poonam Pandey,@pandeypoonam20,2022-12-11T14:22:39.000Z,"Poonam Pandey
@pandeypoonam20
,
11 Dec 2022","#hotspring #tapovan #joshimath #Uttarakhand
0:04
1,852 views
2
3
87",,2.0,3,87,['https://pbs.twimg.com/ext_tw_video_thumb/1601945536533184514/pu/img/GfVIRQoHw25rSu28.jpg'],https://twitter.com/pandeypoonam20/status/1601945561137000448,ORG,
28,28,28,28,Kanchan Naithani,@kanchannaithani,2022-12-11T09:23:53.000Z,"Kanchan Naithani
@kanchannaithani
,
11 Dec 2022","New Video 
https://youtu.be/_0co5jVM5OI
Auli/Joshimath (Uttarakhand)ki khoobsurat vaadiyo se
4
8
61",📸 💚,4.0,8,61,['https://pbs.twimg.com/media/Fjr8myfUAAAB45M?format=jpg&name=small'],https://twitter.com/kanchannaithani/status/1601870373632372736,PERSON,female
29,29,29,29,Aisha Khan,@AishaKh19035278,2022-12-11T15:50:40.000Z,"Aisha Khan
@AishaKh19035278
,
11 Dec 2022","#IndianArmy 
'Our Veterans Our Pride' 
#Veterans Outreach Rally was organised by Ibex Brigade at #Joshimath. Pension & ECHS related grievances were addressed. Veterans and Veernaris were provided information on documentation related issues, SPARSH & ECHS.
@adgpi
 #IndianArmy 
#jk",,,,,['https://pbs.twimg.com/media/FjtVCcFUAAAmkGe?format=jpg&name=small'],https://twitter.com/AishaKh19035278/status/1601967713865371648,PERSON,female
30,30,30,30,Poonam Pandey,@pandeypoonam20,2022-12-11T14:22:39.000Z,"Poonam Pandey
@pandeypoonam20
,
11 Dec 2022","#hotspring #tapovan #joshimath #Uttarakhand
1,852 views
0:00 / 0:04
2
3
87",,2.0,3,87,[],https://twitter.com/pandeypoonam20/status/1601945561137000448,ORG,
31,31,31,31,Abeedah Akhtar,@AbeedahAkhtar,2022-12-11T15:50:58.000Z,"Abeedah Akhtar
@AbeedahAkhtar
,
11 Dec 2022","#IndianArmy 
'Our Veterans Our Pride' 
#Veterans Outreach Rally was organised by Ibex Brigade at #Joshimath. Pension & ECHS related grievances were addressed. Veterans and Veernaris were provided information on documentation related issues, SPARSH & ECHS.
@adgpi
 #IndianArmy 
#jk",,,,,['https://pbs.twimg.com/media/FjtVNFGUYAIW2rT?format=jpg&name=small'],https://twitter.com/AbeedahAkhtar/status/1601967786699333633,PERSON,
32,32,32,32,Priya Sharma,@PriyaSh95788438,2022-12-11T15:49:00.000Z,"Priya Sharma
@priyash95788438
,
11 Dec 2022","#IndianArmy
'Our Veterans Our Pride'
#Veterans Outreach Rally was organized by Ibex Brigade at #Joshimath. Pension & ECHS related grievances were addressed. Veterans and Veernaris were provided information on documentation related issues, SPARSH & ECHS.
#المغرب_البرتغا",,,,,['https://pbs.twimg.com/media/FjtUvGBVsAAT0Ho?format=jpg&name=small'],https://twitter.com/PriyaSh95788438/status/1601967292098543617,PERSON,female
33,33,33,33,ABP Ganga,@AbpGanga,2022-12-12T01:15:11.000Z,"ABP Ganga
@AbpGanga
,
12 Dec 2022","Women set up a local market in Joshimath

#Uttarakhand #Joshimath
abblive.com
Joshimath News: Under the Sunday Market in the Joshimath Block Development Office, women set up a local market,...
Uttarakhand News: In Joshimath, the women of Bhotia tribe along with their respective groups have reached the block auditorium of Joshimath carrying hand-made woolen clothes along with crops in this Sunday market.",,,,,['https://pbs.twimg.com/card_img/1613939895952879617/taIo4qcU?format=jpg&name=small'],https://twitter.com/AbpGanga/status/1602109776661737473,ORG,
34,34,34,34,Acharya Praveen Chauhan,@astropraveen,2022-12-13T05:31:31.000Z,"Acharya Praveen Chauhan
@astropraveen
,
13 Dec 2022","Narsingh Temple Joshimath has a history of around 1200 years and was home to Sage Badri Nath.
Adi Shankracharya established the Shaligram idol of Vishnu's Narsimha avatar here
#joshimath #narsinghtemple #uttrakhand #AcharyaPraveen #AstrologerPraveen
3",🚩,,,3,['https://pbs.twimg.com/media/Fj1almqakAAqkVT?format=jpg&name=small'],https://twitter.com/astropraveen/status/1602536674852220928,PERSON,male
35,35,35,35,Gaon Connection English,@GaonConnectionE,2022-12-15T06:35:49.000Z,"Gaon Connection English
@GaonConnectionE
,
15 Dec 2022","#WATCH | Visuals from #Uttarakhand's Joshimath where people are observing #PandavNritya to mark the mythological arrival of the #Pandavas. It is a month long festival celebrated in Nov-Dec when agrarian households have spare time for leisurely activities.

Sumedha Bhatt
0:51
622 views
3
12",📹,,3,12,['https://pbs.twimg.com/ext_tw_video_thumb/1603273341757890561/pu/img/awY2OWS_b1Pv2eXI.jpg'],https://twitter.com/GaonConnectionE/status/1603277630337261569,LANGUAGE,
36,36,36,36,Nidhi Jamwal,@JamwalNidhi,2022-12-15T07:50:07.000Z,"nidhi jamwal
@jamwalnidhi
,
15 Dec 2022","follow
@GaonConnection
 @GaonConnectionE
 — for the past 10 years, we have been documenting the rich cultural diversity and folk festivals of rural India.

Here is Pandav Nritya of Joshimath in Uttarakhand.
http://gaonconnection.com
Gaon Connection English
@GaonConnectionE
,
15 Dec 2022
#WATCH | Visuals from #Uttarakhand's Joshimath where people are observing #PandavNritya to mark the mythological arrival of the #Pandavas. It is a month long festival celebrated in Nov-Dec when agrarian households have spare time for leisurely activities.

Sumedha Bhatt
3
19",📹,,3,19,"['https://pbs.twimg.com/profile_images/1224648285262008320/Ek0RJWvH_mini.png', 'https://pbs.twimg.com/ext_tw_video_thumb/1603273341757890561/pu/img/awY2OWS_b1Pv2eXI.jpg']",https://twitter.com/JamwalNidhi/status/1603296329647562752,,
37,37,37,37,Nidhi Jamwal,@JamwalNidhi,2022-12-15T07:50:07.000Z,"nidhi jamwal
@jamwalnidhi
,
15 Dec 2022","follow
@GaonConnection
 @GaonConnectionE
 — for the past 10 years, we have been documenting the rich cultural diversity and folk festivals of rural India.

Here is Pandav Nritya of Joshimath in Uttarakhand.
http://gaonconnection.com
Gaon Connection English
@GaonConnectionE
,
15 Dec 2022
#WATCH | Visuals from #Uttarakhand's Joshimath where people are observing #PandavNritya to mark the mythological arrival of the #Pandavas. It is a month long festival celebrated in Nov-Dec when agrarian households have spare time for leisurely activities.

Sumedha Bhatt
0:51
622 views
3
19",📹,,3,19,"['https://pbs.twimg.com/profile_images/1224648285262008320/Ek0RJWvH_mini.png', 'https://pbs.twimg.com/ext_tw_video_thumb/1603273341757890561/pu/img/awY2OWS_b1Pv2eXI.jpg']",https://twitter.com/JamwalNidhi/status/1603296329647562752,,
38,38,38,38,Backstage Casting,@Casting_Notice,2022-12-16T12:29:23.000Z,"Backstage Casting
@Casting_Notice
,
16 Dec 2022","Scripted Show - 'Joshimath' 2 roles
backstage.com
Scripted Show: 'Joshimath' | Backstage
Casting ""Joshimath,"" a whodunnit murder mystery where the audience doesn't know until the very end who the killer is.
55",,,,,[],https://twitter.com/Casting_Notice/status/1603728996885200896,,
39,39,39,39,Surya Savitra,@vrtrahaana,2022-12-19T13:05:19.000Z,"Surya Savitra
@vrtrahaana
,
19 Dec 2022","First it was old Tehri, then it was Tons Valley now its Joshimath, then it would be Darchula, then it would be Darma Valley.
The Maleechs are out in full force to destroy the land of the Gods!!!
atul sati
@atulsati1
,
19 Dec 2022
These pictures and videos are from a completely new area of ​​Joshimath. Till now I was not aware of this place. Nor did anyone know.
This is the news of Jain brothers house and surrounding from Sinhdwar area. From above it new cracks are visible in the whole area. Just 300 meters above Mukesh Bhai's house
Show this thread
1
5
255",,,1,5,"['https://pbs.twimg.com/profile_images/1470749588369784833/9hcp9KNK_mini.jpg', 'https://pbs.twimg.com/media/FkVUwLmaYAE5SoY?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FkVUw7caAAA-gDp?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FkVUxajaAAAvfHJ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FkVUx8yakAASNw0?format=jpg&name=360x360']",https://twitter.com/vrtrahaana/status/1604825203229413378,,
40,40,40,40,shamsher ali,@shamshe11947411,2022-12-19T09:20:09.000Z,"Shamsher Ali
@shamshi11947411
,
19 Dec 2022","Auli joshimath
24",,,,,[],https://twitter.com/shamshe11947411/status/1604768538472099841,,
41,41,41,41,LateNewz.com,@LateNewzdotcom,2022-12-19T18:24:41.000Z,"LateNews.com
@LateNewzdotcom
,
19 Dec 2022","Dehradun / Joshimath. Baba Barfani sitting in the cave of Niti Valley. - https://latenewz.com/news/31616
#Dehradun #Joshimath
#nitighati #cave
#bababarfani
latenews.com
Dehradun / Joshimath. Baba Barfani sitting in the cave of Niti Valley.
Dehradun / Joshimath Uttarakhand. If you are planning to reach Auli for the Christmas and 31st December celebrations, then you must also plan to visit Baba Barfani, about 70 km from here.
39",,,,,['https://pbs.twimg.com/card_img/1614693632581459973/u3u4PJ4S?format=jpg&name=small'],https://twitter.com/LateNewzdotcom/status/1604905576441729024,,
42,42,42,42,Aadhvi Travels,@AadhviTravels,2022-12-20T05:21:38.000Z,"Aadhvi Travels
@AadhviTravels
,
20 Dec 2022","Auli is India's premier skiing destination. Enjoy India's longest cable ride over snowy slopes.

For more information on bookings, don't hesitate to get in touch with us at +91 9108713454 / tours@aadhvi.in

#auli  #skiing #snow  #bestdeals #joshimath #cableride #aadhvitravels
208",,,,,['https://pbs.twimg.com/media/FkZa767acAAVJux?format=jpg&name=small'],https://twitter.com/AadhviTravels/status/1605070901254684672,PERSON,
43,43,43,43,atulsati,@atulsati1,2022-12-20T13:45:25.000Z,"atul sati
@atulsati1
,
20 Dec 2022","ABOUT THREE HUNDRED HOUSES DEVELOPED CRACKS IN JOSHIMATH NAGAR, GARHWAL LIKELY TO COLLAPSE ! LIVES IN ACUTE DANGER !
uknationnews.com
ABOUT THREE HUNDRED HOUSES DEVELOPED CRACKS IN JOSHIMATH NAGAR, GARHWAL LIKELY TO COLLAPSE ! LIVES...
A women in tears not knowing where to go after her house bearing ample huge cracks, sleeping with ch
2
243",,,,2,[],https://twitter.com/atulsati1/status/1605197681655427075,,
44,44,44,44,Sunil Negi,@sunilnegi669,2022-12-21T05:05:15.000Z,"Sunil Negi
@sunilnegi669
,
21 Dec 2022","300 houses developed big cracks  likely to collapse in Joshimath.There r no alternative rescue operations or arrangements.Widow is in tears not knowing where to go, what to do. Cracks still extending. NTPC hydropower project tunnels have led to massive cave ins n landslides.
2
17
32
979",,2.0,17,32,"['https://pbs.twimg.com/media/FkehUA7UEAAOFKF?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FkehUDDUoAAZJTi?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FkehUF8UcAAL2Ce?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FkehUGsUUAAwreS?format=jpg&name=360x360']",https://twitter.com/sunilnegi669/status/1605429167318650880,PERSON,male
45,45,45,45,Sunil Negi,@sunilnegi669,2022-12-21T13:50:35.000Z,"Sunil Negi
@sunilnegi669
,
21 Dec 2022","Sounds astonishing that despite the residents of Joshimath Nagar, Chamoli district Garhwal being in threat of their existence in view of more than 300 houses developing cracks nothing is being heard for resolution of their demands from govt 's side. Is anyone hearing ?
7
18
447",,,7,18,"['https://pbs.twimg.com/media/FkgZjGBacAAw4pD?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FkgZjF6VUAAzlx4?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FkgZjF5agAA_JgY?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FkgZjF6aYAEzCV_?format=jpg&name=small']",https://twitter.com/sunilnegi669/status/1605561369935257600,PERSON,male
